system,workload,auto_config_1,auto_config_0,debug_ref_count_0,debug_ref_count_1,dump_models_0,dump_models_1,model_0,model_1,model_validate_0,model_validate_1,proof_0,proof_1,smtlib2_compliant_0,smtlib2_compliant_1,stats_0,stats_1,trace_0,trace_1,type_check_0,type_check_1,unsat_core_0,unsat_core_1,well_sorted_check_0,well_sorted_check_1
z3,AUFNIRA_z3,0.6271610920576297,0.6158445271170497,0.7428202726891074,0.6281847943968345,0.5542129818174194,0.5869356335214704,0.5152177842408255,0.5156752162917715,0.44353072352205963,0.4847254447873939,0.6163986311157941,0.6359817236926787,0.5928631198614859,0.5938702933758249,0.5948010401011217,0.7110675705249081,0.622012363533488,0.6597562950838798,0.6316989189277427,0.6316482998290464,0.6270935077601004,0.6056085192705659,0.6249411550238881,0.5117639749725391
z3,LRA_formula_277,0.6651919728998199,0.6302835767311269,0.6844579148103903,0.6901297016518934,0.637587258716774,0.6390496776310503,0.5913064488639705,0.6106076790117629,0.6505608310414374,0.5852905612511341,0.6642924930106486,0.6600796810869763,0.6608602238671628,0.5846317510381683,0.5802221860191462,0.5645957477373362,0.66324722512838,0.6347474454814669,0.6509063868618736,0.647799371136261,0.6414420585466882,0.6518352593928811,0.6136074052570347,0.6782261810702308
z3,QF_AUFBV_891_sqlite3,0.6434508744622102,0.7261475265090587,0.6511679222648175,0.5922389097417406,0.66820629822613,0.6304955232956182,0.6532560023571274,0.6422098075969073,0.5894427721702843,0.6017102507622487,0.5944510331515472,0.6206974004188921,0.5892139605096419,0.588037911141503,0.5107252946222197,0.4704406925688767,0.6742481169571364,0.5735528293626942,0.5646468451002918,0.5563831845269629,0.6162242714909173,0.6091584228845102,0.5587533602081106,0.5643847355330744
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002,0.7189278387077529,0.7417391811398231,0.7166160916849037,0.6380296600260511,0.6280162500737746,0.634276262901622,0.627525406960877,0.620290366113,0.6247342071718588,0.6535724285938993,0.5667325645867657,0.5148541442521659,0.6137077951044919,0.637051572950897,0.4922402296337105,0.6001292338402834,0.5406118240888965,0.47583037925066773,0.605439920341155,0.5691981313380391,0.6131295674008473,0.6451949673040241,0.5980374702221407,0.6007284527589388
z3,QF_BV_bench_3176,0.4638226706402171,0.4669978203904739,0.4772062592544612,0.4919063697818014,0.44112592387474625,0.4152345623117422,0.4539363030613497,0.45905877823107205,0.2818509316257203,0.35838183189661715,0.5457027423889323,0.7148088892190723,0.44021002179556795,0.4653535150068313,0.47037729581338295,0.3064932893969885,0.4522232699164877,0.48032194421471397,0.4933735868746844,0.39842504509918353,0.7142816057119713,0.531281464041338,0.4003939042102065,0.4640915819596437
z3,QF_BV_bench_935,0.4669491145563259,0.45391700278470587,0.48751702988149315,0.4719998503177541,0.43862457292220974,0.4153949648476352,0.4506519718151749,0.44994767701857824,0.3911045503831099,0.43865709244073725,0.5279371914325668,0.7040843046910434,0.4622683357545625,0.5193413587647789,0.3887566755796583,0.42187412021438747,0.5152624927225141,0.5001917572924144,0.519386393690142,0.47834478372618716,0.6637792077976574,0.6001785352116332,0.40965162287742996,0.48167241636737296
z3,QF_LIA_tightrhombus,0.6323408150363378,0.5052555573983846,0.5064846105655325,0.5377985571711855,0.5006047436005053,0.5068275203266096,0.47997644156612546,0.5250225500406173,0.4861699533364315,0.43609126996949005,0.5399431109887778,0.6096553526502992,0.49433687065756243,0.5332021748511833,0.43360204738645836,0.39072029355817034,0.5214388267150201,0.48190009212966317,0.5133984209503909,0.5030270701360041,0.523133773367252,0.5965868595225048,0.5028754783401977,0.4686071118931119
z3,QF_LRA_clocksynchro_7clocks,0.6242626616109201,0.6566194061747874,0.5623388668589904,0.538222743556666,0.4687949060256397,0.5224718985248488,0.4873716511788668,0.4875392110306482,0.47690655984815267,0.5186090750596328,0.5524342553333687,0.5601707319960744,0.5094408859432843,0.5263718163395181,0.5466578529916611,0.4885188248166583,0.5142493139607047,0.5141956664211842,0.508422102048079,0.5263903759299974,0.5564351019030261,0.5191654563555964,0.4988757688397206,0.5621953024997656
z3,QF_NRA_hong_9,0.6938444099942803,0.6674028497311101,0.6727262208821244,0.6806171049439459,0.6689510569378837,0.6558434599518346,0.607403856712323,0.6326422246520309,0.6481208008579465,0.6829311508068239,0.1872464724737877,0.20001216778546882,0.5857359884145885,0.6240292030769108,0.5970564159172268,0.622799131339233,0.675312078692252,0.661276490840454,0.6490300804965006,0.6379857403922748,0.6495345956323346,0.6435405331565879,0.6878877147721522,0.678988346440479
z3,QF_RDL_orb08_888,0.7146796531999783,0.7473121685954606,0.5717604829395824,0.5554684218095567,0.529015352504083,0.5206660721531161,0.5092124637003447,0.5165255827105887,0.5097312244818124,0.4596436586056081,0.5517506506422116,0.5331667456171143,0.5326425871813552,0.592362770131282,0.43553320961132985,0.471792233158066,0.586383632125353,0.5832724022297283,0.5313490469559754,0.514030984122037,0.5545097065942479,0.5553285410445296,0.5089559062091112,0.5271534722026544
