system,workload,autocorrelation
z3,AUFNIRA_z3,0.6585771390970298
z3,LRA_formula_277,0.6974290854284069
z3,QF_AUFBV_891_sqlite3,0.6035088395342411
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002,0.7294588328476784
z3,QF_BV_bench_3176,0.605067915400059
z3,QF_BV_bench_935,0.6172592650970846
z3,QF_LIA_tightrhombus,0.6587962154592246
z3,QF_LRA_clocksynchro_7clocks,0.6799123198526772
z3,QF_NRA_hong_9,0.7414352305454195
z3,QF_RDL_orb08_888,0.6782380559088624
z3,QF_UFLIA_xs_23_43,0.7032998288931975
z3,QF_UF_PEQ018_size6,0.5784300850448365
