system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
dconvert,jpeg-large,0.006061502069781195,0.7874303608922211,537,0,1
dconvert,jpeg-medium,0.004878769958604376,0.7533257318084244,722,0,1
dconvert,jpeg-small,0.02631578947368421,0.5687178577762013,174,0,1
dconvert,png-large,0.005470136014192785,0.7385950469018265,726,0,1
dconvert,png-medium,0.008426966292134831,0.7179005475671102,579,0,1
dconvert,png-small,0.018332347723240685,0.5397358747660299,230,0,1
dconvert,psd-large,0.0036960378474275575,0.6096799801911232,1016,0,1
dconvert,psd-medium,0.008870490833826138,0.6522032226774754,422,0,1
dconvert,psd-small,0.01596688350088705,0.5779457102151035,251,0,1
dconvert,svg-large,0.03282081608515671,0.6706082937536992,132,0,1
dconvert,svg-medium,0.020106445890005913,0.5103923569888885,332,0,1
dconvert,svg-small,0.018923713778829097,0.7752614415386552,198,0,1
