NoRes,NoReplayGain,Downmix,ReplayGainFast,Freeformat,Stereo,CRC,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,MPEGMode,time
0,1,0,0,0,0,0,0,0,44,8,0,1,16.15
0,0,0,0,0,0,0,0,1,48,160,0,2,23.92
0,1,0,0,0,0,0,0,0,44,8,2,3,16.0
0,0,0,0,0,0,0,0,1,48,320,0,4,19.42
0,0,0,0,0,0,0,0,1,44,160,0,4,18.89
0,1,0,0,0,0,0,0,0,48,8,1,1,13.92
0,0,0,0,0,0,0,0,1,22,160,0,4,15.46
0,0,0,0,0,1,0,0,1,22,8,1,1,13.4
0,0,0,0,0,1,0,1,1,48,160,0,1,20.21
0,1,0,0,0,0,0,0,0,44,8,0,3,12.83
0,0,0,0,0,0,0,0,1,48,8,0,2,14.1
0,0,0,1,0,0,0,0,0,22,320,0,2,12.52
0,0,0,1,0,0,0,0,0,22,8,0,4,10.1
0,1,0,0,0,0,0,0,0,22,8,0,1,10.43
0,0,0,1,0,1,0,0,0,8,160,0,1,3.26
0,0,0,1,0,0,0,0,0,22,160,0,2,11.71
0,0,0,1,0,0,0,0,0,22,8,1,3,11.08
0,0,0,0,0,0,0,0,1,48,8,0,3,13.3
0,0,0,1,0,0,0,0,0,8,160,0,3,4.76
0,0,0,0,0,0,0,0,1,22,8,1,1,11.53
0,1,0,0,0,1,0,0,0,8,8,1,1,3.65
0,1,0,0,0,0,0,0,0,48,8,0,2,6.92
0,1,0,0,0,0,0,0,0,8,8,0,3,2.04
0,0,0,0,0,0,0,0,1,22,8,0,2,8.85
0,1,0,0,0,0,1,0,0,22,160,0,4,10.17
0,0,0,1,0,0,0,0,0,22,8,0,4,9.66
0,1,0,0,0,0,0,0,0,48,160,0,1,16.21
0,0,0,1,0,1,0,0,0,48,8,0,1,17.27
0,1,0,0,0,0,0,0,0,44,8,0,1,19.51
0,0,0,1,0,1,0,0,0,22,8,1,1,11.06
0,0,0,0,0,0,0,0,1,44,8,1,2,22.3
0,1,0,0,0,0,0,0,0,8,8,0,4,4.32
0,0,0,0,0,0,0,0,1,22,320,0,3,9.68
0,0,0,1,0,0,0,0,0,48,8,0,2,18.31
0,0,0,1,0,0,0,0,0,8,8,0,3,4.7
0,0,0,1,0,1,0,0,0,44,160,0,1,13.71
0,1,0,0,1,1,0,0,0,48,320,0,1,16.26
0,0,0,0,0,0,0,0,1,44,8,0,2,22.49
0,1,0,0,0,0,0,0,0,44,160,0,3,18.29
0,0,0,1,0,1,0,0,0,8,8,0,1,4.79
0,0,1,1,0,0,0,0,0,22,8,0,1,9.63
0,0,0,0,0,1,0,0,1,22,8,0,1,14.26
0,0,0,1,0,0,0,0,0,48,8,2,1,18.34
0,0,0,0,0,0,0,0,1,8,8,0,2,5.45
0,1,0,0,0,0,0,0,0,8,8,0,2,4.12
1,0,0,0,0,0,0,0,1,44,8,0,2,23.6
1,0,1,0,1,0,1,1,1,8,320,0,3,4.95
1,1,1,0,1,1,1,1,0,44,160,0,1,9.95
1,0,1,1,1,0,1,1,0,8,160,0,3,3.47
1,1,1,0,1,0,1,1,0,8,160,0,3,3.08
1,0,1,0,1,0,1,1,1,48,320,0,4,13.99
1,1,1,0,1,0,1,1,0,48,320,0,3,8.02
1,1,1,0,1,0,1,1,0,22,8,0,2,5.59
1,1,1,0,1,0,1,0,0,8,8,0,3,2.36
1,1,1,0,1,0,1,1,0,22,160,0,2,6.31
1,0,1,1,0,0,1,1,0,48,8,0,2,10.0
1,1,1,0,1,0,1,1,0,8,8,0,3,2.37
1,0,1,0,1,0,1,1,1,48,160,0,2,13.48
1,0,1,0,1,1,1,1,1,22,8,0,1,9.2
1,1,1,0,1,0,1,1,0,48,8,0,3,6.52
1,0,1,1,1,0,1,1,0,8,8,0,3,4.32
1,0,1,1,0,0,1,1,0,48,8,0,2,10.08
1,1,1,0,1,0,1,1,0,22,160,0,4,5.84
1,0,1,1,1,0,1,1,0,8,8,0,3,2.83
1,0,1,0,1,0,1,1,1,8,8,0,2,3.46
1,0,1,1,1,0,1,1,0,22,160,0,2,12.61
1,0,1,0,1,0,1,1,1,8,320,0,2,4.8
1,1,1,0,1,0,0,1,0,8,320,0,2,3.56
1,0,1,0,1,0,1,1,1,44,320,0,2,16.03
1,0,1,0,1,0,1,1,1,44,320,0,2,16.04
1,0,1,1,1,0,1,1,0,22,160,0,4,7.61
1,0,1,0,1,0,1,1,1,44,320,0,4,16.11
1,1,1,0,1,0,1,1,0,44,160,0,3,9.67
1,1,1,0,1,0,1,1,0,48,320,0,2,7.99
1,0,1,1,1,0,1,1,0,22,160,0,2,7.53
1,0,1,0,1,0,1,1,1,8,8,0,1,5.12
1,0,1,1,1,0,1,1,0,8,8,0,3,2.85
1,1,1,0,1,0,1,1,0,22,320,0,4,6.68
1,1,1,0,1,0,1,1,0,8,8,0,2,2.28
1,1,1,0,0,0,1,1,0,8,8,0,2,2.32
1,1,1,0,1,0,1,1,0,8,8,0,3,2.33
1,1,1,0,1,0,1,1,0,22,8,0,4,5.27
1,1,1,0,1,0,1,1,0,8,320,0,2,3.54
1,0,0,1,1,0,1,1,0,8,8,0,1,2.85
1,1,1,0,1,0,1,1,0,8,8,0,4,2.29
1,1,1,0,1,0,1,1,0,8,160,0,4,2.96
1,0,1,0,1,0,1,1,1,8,320,0,4,4.79
