NoRes,NoReplayGain,Downmix,ReplayGainFast,Freeformat,Stereo,CRC,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,MPEGMode,time
0,1,0,0,0,0,0,0,0,44,8,0,1,7.64
0,0,0,0,0,0,0,0,1,48,160,0,2,10.75
0,1,0,0,0,0,0,0,0,44,8,2,3,6.14
0,0,0,0,0,0,0,0,1,48,320,0,4,10.02
0,0,0,0,0,0,0,0,1,44,160,0,4,9.07
0,1,0,0,0,0,0,0,0,48,8,1,1,6.28
0,0,0,0,0,0,0,0,1,22,160,0,4,6.43
0,0,0,0,0,1,0,0,1,22,8,1,1,5.91
0,0,0,0,0,1,0,1,1,48,160,0,1,10.45
0,1,0,0,0,0,0,0,0,44,8,0,3,5.57
0,0,0,0,0,0,0,0,1,48,8,0,2,7.84
0,0,0,1,0,0,0,0,0,22,320,0,2,5.26
0,0,0,1,0,0,0,0,0,22,8,0,4,4.61
0,1,0,0,0,0,0,0,0,22,8,0,1,4.52
0,0,0,1,0,1,0,0,0,8,160,0,1,1.53
0,0,0,1,0,0,0,0,0,22,160,0,2,5.34
0,0,0,1,0,0,0,0,0,22,8,1,3,4.51
0,0,0,0,0,0,0,0,1,48,8,0,3,8.12
0,0,0,1,0,0,0,0,0,8,160,0,3,2.34
0,0,0,0,0,0,0,0,1,22,8,1,1,5.69
0,1,0,0,0,1,0,0,0,8,8,1,1,1.55
0,1,0,0,0,0,0,0,0,48,8,0,2,5.32
0,1,0,0,0,0,0,0,0,8,8,0,3,0.85
0,0,0,0,0,0,0,0,1,22,8,0,2,4.39
0,1,0,0,0,0,1,0,0,22,160,0,4,4.86
0,0,0,1,0,0,0,0,0,22,8,0,4,4.69
0,1,0,0,0,0,0,0,0,48,160,0,1,6.74
0,0,0,1,0,1,0,0,0,48,8,0,1,10.0
0,1,0,0,0,0,0,0,0,44,8,0,1,6.82
0,0,0,1,0,1,0,0,0,22,8,1,1,4.48
0,0,0,0,0,0,0,0,1,44,8,1,2,8.86
0,1,0,0,0,0,0,0,0,8,8,0,4,2.23
0,0,0,0,0,0,0,0,1,22,320,0,3,4.59
0,0,0,1,0,0,0,0,0,48,8,0,2,9.57
0,0,0,1,0,0,0,0,0,8,8,0,3,2.3
0,0,0,1,0,1,0,0,0,44,160,0,1,6.46
0,1,0,0,1,1,0,0,0,48,320,0,1,7.35
0,0,0,0,0,0,0,0,1,44,8,0,2,8.95
0,1,0,0,0,0,0,0,0,44,160,0,3,7.24
0,0,0,1,0,1,0,0,0,8,8,0,1,2.22
0,0,1,1,0,0,0,0,0,22,8,0,1,4.63
0,0,0,0,0,1,0,0,1,22,8,0,1,6.35
0,0,0,1,0,0,0,0,0,48,8,2,1,8.03
0,0,0,0,0,0,0,0,1,8,8,0,2,2.7
0,1,0,0,0,0,0,0,0,8,8,0,2,1.95
1,0,0,0,0,0,0,0,1,44,8,0,2,10.76
1,0,1,0,1,0,1,1,1,8,320,0,3,2.37
1,1,1,0,1,1,1,1,0,44,160,0,1,5.16
1,0,1,1,1,0,1,1,0,8,160,0,3,1.6
1,1,1,0,1,0,1,1,0,8,160,0,3,1.3
1,0,1,0,1,0,1,1,1,48,320,0,4,8.36
1,1,1,0,1,0,1,1,0,48,320,0,3,5.58
1,1,1,0,1,0,1,1,0,22,8,0,2,2.69
1,1,1,0,1,0,1,0,0,8,8,0,3,1.05
1,1,1,0,1,0,1,1,0,22,160,0,2,2.96
1,0,1,1,0,0,1,1,0,48,8,0,2,6.52
1,1,1,0,1,0,1,1,0,8,8,0,3,1.07
1,0,1,0,1,0,1,1,1,48,160,0,2,8.07
1,0,1,0,1,1,1,1,1,22,8,0,1,4.22
1,1,1,0,1,0,1,1,0,48,8,0,3,4.89
1,0,1,1,1,0,1,1,0,8,8,0,3,2.07
1,0,1,1,0,0,1,1,0,48,8,0,2,6.5
1,1,1,0,1,0,1,1,0,22,160,0,4,2.81
1,0,1,1,1,0,1,1,0,8,8,0,3,1.38
1,0,1,0,1,0,1,1,1,8,8,0,2,1.69
1,0,1,1,1,0,1,1,0,22,160,0,2,5.29
1,0,1,0,1,0,1,1,1,8,320,0,2,2.12
1,1,1,0,1,0,0,1,0,8,320,0,2,1.62
1,0,1,0,1,0,1,1,1,44,320,0,2,8.14
1,0,1,0,1,0,1,1,1,44,320,0,2,8.02
1,0,1,1,1,0,1,1,0,22,160,0,4,3.73
1,0,1,0,1,0,1,1,1,44,320,0,4,8.61
1,1,1,0,1,0,1,1,0,44,160,0,3,4.91
1,1,1,0,1,0,1,1,0,48,320,0,2,5.34
1,0,1,1,1,0,1,1,0,22,160,0,2,3.77
1,0,1,0,1,0,1,1,1,8,8,0,1,2.52
1,0,1,1,1,0,1,1,0,8,8,0,3,1.47
1,1,1,0,1,0,1,1,0,22,320,0,4,3.12
1,1,1,0,1,0,1,1,0,8,8,0,2,0.99
1,1,1,0,0,0,1,1,0,8,8,0,2,1.13
1,1,1,0,1,0,1,1,0,8,8,0,3,0.99
1,1,1,0,1,0,1,1,0,22,8,0,4,2.65
1,1,1,0,1,0,1,1,0,8,320,0,2,1.54
1,0,0,1,1,0,1,1,0,8,8,0,1,1.31
1,1,1,0,1,0,1,1,0,8,8,0,4,1.08
1,1,1,0,1,0,1,1,0,8,160,0,4,1.43
1,0,1,0,1,0,1,1,1,8,320,0,4,2.17
1,0,1,0,1,0,1,1,1,44,320,0,2,8.18
0,1,0,0,0,0,0,0,0,48,8,0,4,7.12
0,0,0,0,0,0,0,0,1,44,8,0,2,10.76
0,0,0,1,0,0,0,0,0,44,8,0,3,8.14
0,1,0,0,0,1,0,0,0,22,8,0,1,4.6
0,0,0,0,0,0,0,0,1,8,8,0,3,2.71
0,0,0,0,0,1,0,0,1,8,8,0,1,2.65
0,0,0,0,0,0,0,1,1,44,8,0,3,12.29
0,0,0,0,0,0,0,0,1,8,8,0,3,3.05
0,1,0,0,0,0,0,0,0,22,8,0,2,2.71
0,0,0,0,0,0,0,0,1,22,8,0,4,6.36
0,0,0,0,0,0,0,0,1,44,8,0,2,7.42
0,1,0,0,0,0,0,0,0,48,8,0,2,7.05
0,0,0,1,0,1,0,0,0,44,8,0,1,7.48
0,0,0,0,0,0,0,0,1,48,8,0,3,8.37
0,1,0,0,0,0,0,0,0,8,8,0,4,1.95
0,0,0,0,0,0,0,0,1,44,8,0,3,9.74
0,0,0,0,0,0,0,0,1,44,8,0,2,7.64
0,0,0,0,0,0,0,0,1,22,8,0,2,4.18
0,0,0,0,0,1,0,0,1,48,8,0,1,8.61
0,0,0,1,0,0,1,0,0,48,8,0,3,8.37
0,1,0,0,0,0,0,0,0,22,8,0,3,4.64
0,1,0,0,0,1,0,0,0,22,8,0,1,4.64
0,1,0,0,0,0,0,0,0,44,8,0,1,6.85
0,0,0,1,0,0,0,0,0,8,8,0,3,2.25
0,0,0,1,0,0,0,0,0,22,8,0,4,5.23
0,0,0,1,0,0,0,0,0,22,8,0,3,3.31
0,1,0,0,0,0,0,0,0,22,8,0,2,4.34
0,0,0,1,0,0,0,0,0,8,8,0,1,2.46
0,0,0,1,0,0,0,0,0,8,8,0,4,1.34
0,1,0,0,0,0,0,0,0,44,8,0,3,7.14
0,0,0,1,0,0,0,0,0,22,8,0,3,5.43
0,0,1,1,0,0,0,0,0,22,8,0,2,5.23
0,1,0,0,0,0,0,0,0,44,8,0,2,7.4
1,1,0,0,0,0,0,0,0,48,8,0,2,6.87
0,0,0,0,0,0,0,0,1,48,8,0,3,11.98
0,0,0,1,0,0,0,0,0,44,8,0,4,9.19
0,0,0,0,0,0,0,0,1,8,8,0,3,2.56
0,1,0,0,0,0,0,0,0,22,8,0,1,4.64
0,0,0,0,0,0,0,0,1,44,8,0,2,10.64
0,1,0,0,0,0,0,0,0,8,8,0,2,2.0
0,0,0,1,0,0,0,1,0,48,8,0,2,9.54
0,1,0,0,0,0,0,0,0,22,8,0,2,4.08
0,0,0,1,0,0,0,0,0,8,8,0,3,1.41
0,0,0,0,0,0,0,0,1,8,8,0,3,2.65
0,0,0,1,0,0,0,0,0,22,8,0,4,3.53
0,0,0,1,0,0,0,0,0,22,8,0,2,4.95
0,0,0,0,0,0,0,0,1,8,8,0,2,2.74
0,0,0,0,0,0,0,0,1,22,8,0,2,4.87
0,0,0,1,0,0,0,0,0,8,8,0,4,2.33
0,0,0,1,0,0,0,0,0,22,8,0,2,5.27
0,0,0,0,0,0,0,0,1,48,8,0,3,7.79
0,0,0,1,0,0,0,0,0,8,8,0,2,1.42
0,0,0,1,0,1,0,0,0,8,8,0,1,1.64
0,0,0,1,0,1,1,0,0,48,8,0,1,10.57
0,1,0,0,0,0,0,0,0,22,8,0,3,3.95
0,1,0,0,0,1,0,0,0,8,8,0,1,2.2
0,0,0,0,0,0,0,0,1,22,8,0,1,5.54
0,0,0,0,0,1,0,0,1,22,8,0,1,5.64
0,0,0,0,0,0,0,0,1,44,8,0,4,10.86
0,1,0,0,0,0,0,0,0,22,8,0,3,2.78
0,1,0,0,0,0,0,0,0,22,8,0,2,4.32
0,0,0,0,0,1,0,0,1,8,8,0,1,2.62
0,0,0,1,0,0,0,0,0,48,8,0,2,6.8
0,1,0,0,0,0,0,0,0,8,8,0,3,2.17
0,0,0,1,0,0,0,0,0,44,8,0,2,9.16
0,1,1,0,0,0,0,0,0,44,8,0,4,7.97
0,1,0,0,0,0,0,0,0,48,8,0,4,8.6
1,0,0,0,0,0,0,0,1,22,8,0,4,5.81
0,0,0,0,0,0,0,0,1,48,8,0,1,11.33
0,0,0,0,0,0,0,0,1,48,8,1,2,9.42
0,0,0,0,0,0,0,0,1,48,8,1,2,9.42
0,0,0,0,0,0,0,0,1,48,8,0,3,9.87
0,0,0,0,0,0,0,0,1,48,8,1,1,9.33
0,1,0,0,0,0,0,1,0,48,160,0,4,7.26
0,0,0,1,0,0,0,0,0,48,160,0,3,8.02
0,1,0,0,0,0,0,0,0,48,8,0,3,4.82
0,1,0,0,0,0,0,0,0,48,320,0,2,6.98
0,0,0,0,0,0,0,0,1,48,320,0,2,10.57
0,0,0,0,0,0,0,0,1,48,8,0,4,9.78
0,0,0,1,0,0,0,0,0,48,160,0,3,7.09
0,0,0,1,0,0,0,0,0,48,8,0,2,8.96
0,1,0,0,0,0,0,0,0,48,8,0,2,8.31
0,0,0,0,0,1,0,0,1,48,8,0,1,8.15
0,0,0,1,0,0,0,0,0,48,320,0,2,8.7
0,1,0,0,0,0,0,0,0,48,8,2,2,6.22
0,0,0,0,0,0,0,0,1,48,8,0,1,11.24
0,1,0,0,0,0,0,0,0,48,8,0,2,5.57
0,0,0,1,0,0,0,0,0,48,320,0,3,7.44
0,0,0,0,0,0,0,0,1,48,320,0,2,8.54
0,1,0,0,0,0,1,0,0,48,8,0,3,7.3
0,1,0,0,0,0,0,0,0,48,160,0,3,6.89
0,0,0,0,0,1,0,0,1,48,320,0,1,10.34
0,0,0,0,0,0,0,0,1,48,320,0,1,10.25
0,0,0,1,0,0,0,0,0,48,8,2,3,8.01
0,1,0,0,0,0,0,0,0,48,8,2,2,6.38
0,0,0,1,0,0,0,0,0,48,8,0,4,8.26
0,0,0,1,0,0,0,0,0,48,8,0,3,6.41
0,0,0,0,0,0,0,0,1,48,8,0,4,9.4
