NoRes,NoReplayGain,Downmix,ReplayGainFast,Freeformat,Stereo,CRC,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,MPEGMode,time
0,1,0,0,0,0,0,0,0,44,8,0,1,6.55
0,0,0,0,0,0,0,0,1,48,160,0,2,14.8
0,1,0,0,0,0,0,0,0,44,8,2,3,7.17
0,0,0,0,0,0,0,0,1,48,320,0,4,6.32
0,0,0,0,0,0,0,0,1,44,160,0,4,4.71
0,1,0,0,0,0,0,0,0,48,8,1,1,8.96
0,0,0,0,0,0,0,0,1,22,160,0,4,4.42
0,0,0,0,0,1,0,0,1,22,8,1,1,6.5
0,0,0,0,0,1,0,1,1,48,160,0,1,12.56
0,1,0,0,0,0,0,0,0,44,8,0,3,5.64
0,0,0,0,0,0,0,0,1,48,8,0,2,9.41
0,0,0,1,0,0,0,0,0,22,320,0,2,6.58
0,0,0,1,0,0,0,0,0,22,8,0,4,3.19
0,1,0,0,0,0,0,0,0,22,8,0,1,5.8
0,0,0,1,0,1,0,0,0,8,160,0,1,1.68
0,0,0,1,0,0,0,0,0,22,160,0,2,6.65
0,0,0,1,0,0,0,0,0,22,8,1,3,5.76
0,0,0,0,0,0,0,0,1,48,8,0,3,9.51
0,0,0,1,0,0,0,0,0,8,160,0,3,2.97
0,0,0,0,0,0,0,0,1,22,8,1,1,5.5
0,1,0,0,0,1,0,0,0,8,8,1,1,2.16
0,1,0,0,0,0,0,0,0,48,8,0,2,7.46
0,1,0,0,0,0,0,0,0,8,8,0,3,1.41
0,0,0,0,0,0,0,0,1,22,8,0,2,4.91
0,1,0,0,0,0,1,0,0,22,160,0,4,3.12
0,0,0,1,0,0,0,0,0,22,8,0,4,3.14
0,1,0,0,0,0,0,0,0,48,160,0,1,12.4
0,0,0,1,0,1,0,0,0,48,8,0,1,9.63
0,1,0,0,0,0,0,0,0,44,8,0,1,7.81
0,0,0,1,0,1,0,0,0,22,8,1,1,5.42
0,0,0,0,0,0,0,0,1,44,8,1,2,9.69
0,1,0,0,0,0,0,0,0,8,8,0,4,1.85
0,0,0,0,0,0,0,0,1,22,320,0,3,5.22
0,0,0,1,0,0,0,0,0,48,8,0,2,11.32
0,0,0,1,0,0,0,0,0,8,8,0,3,2.98
0,0,0,1,0,1,0,0,0,44,160,0,1,4.5
0,1,0,0,1,1,0,0,0,48,320,0,1,10.05
0,0,0,0,0,0,0,0,1,44,8,0,2,10.75
0,1,0,0,0,0,0,0,0,44,160,0,3,9.68
0,0,0,1,0,1,0,0,0,8,8,0,1,2.6
0,0,1,1,0,0,0,0,0,22,8,0,1,4.02
0,0,0,0,0,1,0,0,1,22,8,0,1,7.33
0,0,0,1,0,0,0,0,0,48,8,2,1,9.72
0,0,0,0,0,0,0,0,1,8,8,0,2,3.32
0,1,0,0,0,0,0,0,0,8,8,0,2,2.91
1,0,0,0,0,0,0,0,1,44,8,0,2,10.23
1,0,1,0,1,0,1,1,1,8,320,0,3,2.52
1,1,1,0,1,1,1,1,0,44,160,0,1,3.71
1,0,1,1,1,0,1,1,0,8,160,0,3,2.17
