system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
lrzip,ambivert,0.12041884816753927,0.9721190333773663,18,1,1
lrzip,artificl,0.193717277486911,0.9923123580739429,12,0,1
lrzip,deepfield,0.09947643979057591,0.9867974003531312,23,2,1
lrzip,enwik8,0.10471204188481675,0.9451287020035369,21,2,1
lrzip,fannie_mae_500k,0.09947643979057591,0.8304622317911073,38,2,1
lrzip,large,0.09947643979057591,0.9592844641811122,31,3,1
lrzip,misc,0.14136125654450263,0.9042629952521998,17,0,1
lrzip,silesia,0.08900523560209424,0.9739653534105799,21,4,1
lrzip,uiq2-4,0.08900523560209424,0.9722510462022341,27,2,1
lrzip,uiq2-8,0.11518324607329843,0.9453871604188798,16,1,1
lrzip,uiq2-16,0.12041884816753927,0.9352496960628449,21,2,1
lrzip,uiq-32,0.10471204188481675,0.9513350163292221,17,2,1
lrzip,vmlinux-5,0.1099476439790576,0.9800122228919697,19,1,1
