new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
4,1,0,0,0,0,512,10,274681.4
3,0,0,0,1,100,64,4,12184.4
2,1,1,0,1,50,512,10,101470.8
3,0,0,0,1,90,512,4,11944.8
3,1,1,1,1,70,8,4,12363.4
1,1,1,1,1,30,512,0,17798.0
3,1,0,1,0,30,32,6,10686.8
4,0,1,0,1,70,128,8,39346.2
1,0,0,0,0,70,2048,6,88495.6
1,0,0,0,0,80,32,10,99493.8
3,1,1,1,1,60,256,2,12011.6
1,0,0,0,0,90,128,2,17737.0
3,0,1,0,1,90,512,6,10647.6
1,0,1,1,1,30,1024,2,17784.6
3,0,0,0,0,40,1024,0,12093.6
4,0,1,1,1,30,32,4,43404.4
5,1,1,1,0,50,1,10,299235.6
5,0,1,0,0,30,4,2,9157.0
2,0,0,0,1,50,256,10,101129.6
1,0,1,1,1,0,4096,4,18435.4
4,0,1,1,0,50,8,8,124942.6
4,1,0,1,1,30,8,2,35729.4
2,0,1,1,1,50,512,10,103056.2
4,0,0,0,1,10,32,4,14046.8
5,1,0,1,1,10,1024,6,47380.4
1,0,1,0,0,10,128,0,17653.4
2,0,0,1,0,50,8,8,109428.4
4,0,0,0,0,90,2,0,9525.4
1,1,0,1,0,10,4,4,12535.2
2,1,1,1,1,100,16,6,93993.0
4,1,0,1,1,100,64,6,49602.4
4,1,0,0,1,20,512,6,20253.6
5,1,0,1,0,90,32,2,9241.4
4,0,1,0,1,20,512,2,9115.6
3,1,0,1,1,0,512,4,15890.4
3,1,1,0,1,10,8,2,12579.2
4,1,1,0,0,100,1,6,34845.2
5,1,1,1,0,10,4096,10,301660.2
1,0,0,0,1,80,2,10,79947.2
3,0,0,1,1,100,64,10,48291.6
2,1,0,1,1,30,4,8,113973.2
3,0,0,1,1,70,8,8,37137.2
2,0,0,0,0,30,8,10,86470.0
2,0,1,1,0,0,4,4,18501.6
3,0,1,0,0,70,1,10,50080.0
4,0,0,1,1,30,1,10,418283.8
1,1,1,1,1,10,256,10,105642.4
1,1,0,1,0,10,32,6,94018.8
5,0,0,0,0,60,128,2,9139.4
2,1,1,0,1,90,1024,0,4667.2
2,0,0,0,1,50,4,6,73115.6
1,0,0,1,0,100,4096,0,17724.2
3,1,0,1,0,80,8,4,12500.4
2,1,1,0,0,60,1,4,14756.0
3,1,1,1,0,0,2048,2,16036.6
5,1,0,0,1,80,32,4,9146.0
5,1,1,1,0,40,512,2,9164.6
3,0,1,1,1,20,32,8,38509.2
5,1,1,1,1,40,16,10,301461.8
4,0,0,0,0,30,4,0,9418.0
5,0,0,1,0,0,4096,8,121590.6
3,0,0,1,0,0,512,6,20667.0
4,1,1,0,1,90,2,4,15487.0
3,1,1,0,0,10,1,10,50237.4
3,1,0,1,1,100,2,10,48953.0
3,1,0,0,1,20,128,0,12092.0
1,0,0,0,1,10,4096,0,17754.4
3,0,0,0,0,20,1024,4,12132.6
4,0,1,1,0,10,256,2,35690.8
2,0,1,0,1,30,1024,4,4570.6
3,1,1,1,0,70,16,6,11220.4
2,1,1,0,0,80,256,0,4701.2
2,0,1,0,1,50,8,0,5211.2
3,0,0,0,0,90,64,2,12203.8
3,0,1,0,0,80,512,2,12085.2
1,1,0,1,1,100,2,2,17761.4
3,0,1,1,1,20,1,10,50351.6
5,0,1,0,0,40,2,4,9159.0
5,0,0,0,1,20,256,6,47593.0
4,1,1,1,0,60,256,8,124972.8
4,1,0,0,0,30,1024,10,119660.0
1,0,1,0,1,40,512,2,17721.4
2,1,0,1,1,70,128,4,11886.2
4,1,1,1,1,90,32,10,416233.6
5,0,1,0,0,10,4096,0,9192.2
3,1,0,1,0,40,512,2,12098.8
1,1,0,0,0,50,16,4,11967.8
1,1,0,0,0,100,4,2,17759.2
1,0,0,0,0,10,512,2,17664.2
3,0,0,1,0,70,32,8,38115.4
4,1,0,0,1,60,4,10,158059.4
4,0,1,1,1,10,16,6,48487.0
4,1,1,0,0,0,8,6,27522.8
4,0,1,1,0,30,2,8,123836.0
5,0,0,1,1,20,2048,0,9142.8
5,1,1,0,1,40,32,10,299921.4
5,0,1,0,0,10,8,10,298856.4
1,0,0,0,0,70,512,10,100308.2
4,0,0,1,1,20,2048,6,48745.4
4,0,0,0,0,20,4,2,9453.6
4,1,0,1,1,80,64,6,49325.8
5,0,1,1,0,60,4096,4,9166.8
3,1,1,0,0,40,32,0,12152.2
3,0,1,1,1,10,16,0,12496.4
4,1,1,1,1,70,2048,8,125099.0
2,1,1,0,1,40,256,8,101515.2
1,1,0,0,0,80,2,2,17795.8
3,1,0,1,1,20,4,0,12983.8
5,1,0,1,1,90,128,8,122117.6
5,0,1,1,0,50,16,6,47617.8
1,1,1,1,0,20,64,8,103839.6
2,1,0,0,0,70,512,4,4382.6
2,1,0,1,0,50,2048,0,17742.4
1,1,1,1,1,60,16,6,93775.8
1,0,0,1,1,30,4,4,12471.2
5,1,0,1,1,60,4,0,9187.0
2,0,0,0,0,0,16,0,11425.6
5,1,1,0,1,40,2,10,298104.6
1,0,1,1,0,60,256,6,90677.0
5,0,1,0,1,30,4,0,9107.4
4,0,0,1,1,90,2,10,416003.0
5,0,0,0,1,0,2048,4,9270.0
1,0,0,0,1,80,512,6,89837.0
4,1,0,1,1,60,256,8,124684.6
1,1,1,0,1,60,4,10,80991.0
5,1,1,1,1,40,8,8,121577.2
5,1,0,0,0,60,256,10,303476.4
3,1,0,1,1,40,4,4,13014.6
5,1,1,0,0,20,32,6,47696.8
1,0,0,0,0,50,32,8,99690.8
2,1,0,0,1,30,256,10,100662.8
1,1,1,1,1,100,1,2,17636.2
3,1,0,0,1,70,1024,10,48492.8
2,1,0,1,0,40,64,10,103148.6
4,1,0,1,0,20,1024,4,43310.6
2,0,1,1,1,90,4096,4,11854.4
5,0,1,0,0,0,1024,6,47735.4
3,0,0,1,0,0,256,2,15982.2
1,0,1,0,0,10,128,10,99371.2
2,1,1,1,1,0,4096,6,123609.6
1,0,0,0,0,20,2048,0,17629.4
5,1,0,0,1,100,512,6,47492.2
3,0,0,0,1,30,16,10,47821.0
3,1,1,0,0,80,32,4,12169.4
3,1,0,1,1,20,1024,4,12395.4
3,1,0,1,0,70,128,4,12153.6
5,1,1,0,0,90,4,4,9126.8
4,1,1,1,1,30,4,10,416883.4
4,1,0,0,0,40,32,2,8983.8
4,1,0,0,0,0,2,2,11896.4
3,1,0,1,1,10,4096,6,11789.8
5,0,1,1,1,70,8,2,9225.4
2,0,0,1,0,40,64,0,17645.0
3,1,0,0,1,50,64,4,12385.8
4,1,1,1,1,70,4,8,124132.2
5,0,1,1,0,60,128,10,303528.8
2,0,1,1,1,40,4,10,113801.8
5,0,1,1,1,60,512,2,9207.0
4,0,0,0,1,50,4,8,51646.0
3,0,1,0,0,0,64,4,16047.8
5,0,1,1,1,30,512,0,9163.2
4,1,0,0,1,60,64,8,39692.0
5,0,0,0,0,10,1024,4,9146.4
1,1,1,1,1,0,64,0,18056.6
4,1,0,1,1,0,2,4,39565.2
