new_column3,new_column2,new_column1,sendfile,basicAuth,maxClients,performance
1,4,4,0,1,4096,166.3842
1,1,0,1,0,4096,31.8582
1,3,0,0,0,1024,166.8392
0,4,0,1,0,2048,162.999
1,2,4,1,1,2048,166.2124
0,2,4,0,0,512,167.1056
0,2,4,0,1,2048,166.9488
1,3,4,1,0,1024,167.2178
1,3,0,1,0,2048,165.683
1,0,4,1,1,512,167.1644
0,0,0,1,0,2048,163.7926
0,2,0,0,0,4096,165.3918
0,4,4,0,0,1024,166.4434
1,2,0,1,1,1024,164.6092
1,3,4,1,1,512,167.95
1,4,4,1,0,2048,166.901
0,2,4,0,0,2048,167.1916
1,2,4,0,0,512,166.3008
0,3,0,1,1,1024,166.492
0,3,0,0,0,1024,167.4724
1,4,4,1,1,2048,168.7032
0,1,4,1,1,512,32.465
0,0,0,0,1,1024,163.366
1,4,4,0,1,2048,168.2838
0,4,4,0,1,4096,167.0496
0,0,4,0,0,1024,166.8602
0,0,4,1,1,2048,166.5992
1,2,0,0,1,1024,165.0806
0,2,0,0,1,1024,165.314
0,2,4,1,1,4096,167.3416
0,3,4,0,1,4096,165.5558
1,2,4,1,0,1024,165.88
0,1,0,0,1,4096,32.164
0,0,0,1,1,4096,164.3484
1,2,4,1,1,4096,167.1182
0,4,4,0,0,4096,166.5608
1,1,0,1,1,512,32.436
0,4,0,0,0,4096,165.3784
1,3,0,0,1,2048,165.1584
1,1,4,0,1,512,32.3174
1,2,4,0,0,1024,168.5756
1,1,0,0,0,2048,31.8866
0,1,0,1,1,4096,31.7572
0,0,4,0,1,4096,167.7698
0,3,0,0,0,512,162.6548
1,0,4,0,0,1024,168.0676
0,0,4,0,0,512,166.1946
1,1,4,1,0,1024,31.9774
0,1,0,1,0,512,31.0946
0,1,0,1,0,1024,31.4174
1,0,0,1,1,512,165.6214
0,3,4,0,0,4096,167.179
0,4,4,1,0,1024,167.7622
1,1,4,1,0,512,32.389
0,3,4,1,1,4096,166.6048
1,4,0,0,1,2048,164.0904
0,1,0,1,1,512,31.4334
1,3,4,1,1,1024,167.738
1,0,0,1,0,4096,167.101
1,0,4,1,0,4096,167.49
1,0,0,0,0,4096,164.1756
0,4,4,0,0,2048,167.909
0,3,0,0,0,4096,164.7146
1,3,0,1,1,4096,165.6286
1,1,0,0,1,2048,32.0286
1,2,0,1,0,512,165.1408
1,1,0,0,1,1024,32.145
0,2,0,1,1,2048,167.317
0,4,0,0,1,512,165.1774
0,0,0,1,0,512,166.1266
0,1,0,0,1,512,31.1982
0,4,0,1,0,512,162.5204
0,2,0,0,1,4096,166.7608
1,4,4,1,0,4096,166.1892
0,3,4,0,0,2048,167.0674
1,3,4,0,0,512,166.6294
0,0,0,1,1,1024,165.3184
0,3,4,0,1,512,165.2014
0,2,0,0,0,1024,165.1946
0,0,4,0,1,1024,167.3634
