new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
5,0,0,0,0,50,16,10,298746.8
1,1,1,1,1,60,2,6,107287.6
5,1,0,1,1,70,2,0,9118.0
2,1,0,0,0,70,512,4,4382.6
4,1,1,0,1,70,256,0,8888.6
5,1,1,0,1,70,4,10,299280.8
3,1,1,1,0,90,256,0,12034.0
3,0,1,0,1,0,2,0,15942.2
1,1,1,1,1,30,4,10,114246.6
2,0,0,0,1,50,2,10,80100.2
5,1,1,0,0,80,256,4,9118.0
5,1,1,1,1,60,1024,6,47673.6
3,0,0,1,1,90,512,8,38023.2
2,1,0,0,1,100,4096,2,4679.6
3,1,0,1,1,70,4096,0,12271.0
2,1,1,1,1,10,4096,6,93771.8
1,0,1,0,1,60,2048,10,101869.0
1,0,0,0,0,10,2,6,73460.2
5,1,0,0,1,40,16,10,298287.2
1,0,1,1,0,70,512,10,103097.2
2,1,1,0,0,30,64,8,100773.0
5,0,1,0,1,90,1024,2,9201.6
4,1,1,0,1,50,128,6,19907.4
4,1,0,0,1,70,8,0,9132.4
2,0,1,1,0,70,128,4,11870.6
5,1,1,0,0,100,256,10,301802.6
4,0,0,0,1,10,1,2,10143.2
3,1,0,0,0,50,4096,10,49185.4
3,1,1,1,0,20,32,8,38440.8
1,0,0,1,1,10,1,10,125483.0
1,0,0,1,0,0,16,0,18017.2
3,1,0,1,1,30,128,0,12187.0
4,1,0,0,1,40,16,8,42227.4
4,1,1,1,0,30,1024,8,124285.2
5,1,1,0,1,20,1024,10,301173.8
1,0,1,1,0,80,4096,0,17750.0
1,1,1,1,1,80,1024,4,11770.8
5,1,0,0,1,20,2048,10,302602.4
5,1,0,1,0,80,4,0,9201.0
1,1,0,1,1,30,32,8,104142.2
1,1,0,0,0,90,16,8,95389.2
2,0,0,1,1,10,512,4,12412.8
1,1,0,0,0,40,2048,2,17720.6
3,1,1,0,0,100,4,10,46522.0
1,1,1,0,1,80,4096,2,17719.2
1,0,1,0,0,0,256,6,82222.0
4,1,1,1,1,30,128,6,48972.4
3,0,0,0,1,70,1024,4,12127.0
1,0,0,0,0,60,2048,0,17684.8
4,0,0,1,0,10,1024,10,415155.0
3,1,0,1,1,10,2048,4,12415.4
2,0,0,0,1,20,256,2,5066.4
4,1,1,0,1,10,16,8,46664.0
2,0,1,0,1,60,2048,0,4719.8
1,1,1,1,0,90,2,0,17660.4
1,0,1,0,1,50,2048,0,17712.8
1,0,1,1,1,80,64,2,17661.8
5,1,0,0,0,90,128,4,9198.4
4,1,1,1,1,20,64,4,43251.6
2,1,0,1,0,70,64,6,90773.8
3,1,0,1,1,40,256,8,38187.6
3,1,1,0,0,90,256,2,12080.0
3,0,0,0,1,0,512,8,44218.6
4,1,1,1,1,30,64,6,49115.6
5,0,0,0,1,10,8,0,9178.2
1,1,1,1,1,0,128,2,17950.6
4,0,1,1,0,10,4,10,415711.0
1,1,0,0,1,80,1,4,15253.6
3,0,0,0,1,100,64,4,12184.4
5,1,0,1,1,20,256,10,299630.0
2,0,1,1,0,20,1,4,15289.2
3,0,1,1,0,40,128,2,12038.0
1,0,1,1,0,70,4,6,103116.2
5,1,0,0,1,50,4,4,9143.2
2,1,0,0,0,0,2,0,11410.8
4,0,1,1,0,30,256,4,43375.2
1,1,1,1,1,80,1024,6,90682.2
3,0,1,0,1,0,256,6,20840.2
4,1,0,1,1,20,4,6,48827.6
2,1,1,0,1,90,2048,10,100561.2
5,1,1,1,0,60,2048,10,301641.6
2,0,0,1,0,70,64,0,17685.2
5,1,0,0,0,10,4096,6,47475.8
3,1,0,0,0,30,32,10,48878.4
1,1,0,0,0,30,32,0,17733.4
5,0,0,1,0,0,1,4,9277.6
2,0,1,0,1,100,8,4,9056.8
4,1,0,1,0,70,2,2,35780.0
5,0,1,1,1,80,16,0,9207.2
2,0,0,0,1,90,1024,10,100488.0
4,1,0,1,0,70,64,0,35809.4
1,1,0,1,0,30,8,2,17716.6
5,0,1,1,0,50,4,2,9148.2
3,0,0,0,1,60,2048,10,48607.4
5,1,0,1,1,30,16,0,9148.8
2,1,1,1,0,10,1,2,17621.8
4,0,1,0,1,60,32,8,40328.2
4,1,1,1,1,40,8,6,49356.6
2,0,0,0,0,30,128,6,88424.8
5,0,1,1,1,30,1024,4,9125.6
4,1,0,1,1,100,1024,10,415928.4
5,0,1,0,0,40,1024,0,9195.0
5,1,1,0,1,30,32,10,301259.4
3,0,0,0,1,0,1024,6,20842.4
2,1,1,0,1,90,2,6,74034.4
2,0,1,0,0,70,2048,6,84667.2
3,1,1,1,1,10,128,10,50418.6
1,1,0,1,0,100,2048,8,102666.4
4,0,1,1,0,10,1,0,35748.4
4,0,1,0,0,70,128,0,8900.2
1,0,1,0,0,30,512,4,11865.4
5,0,1,1,0,40,32,10,298215.4
1,0,1,1,1,80,1024,4,11810.2
4,1,0,1,0,10,64,8,124443.4
4,1,1,0,1,50,32,0,8950.8
1,1,0,1,0,100,512,10,102750.2
2,0,0,0,0,30,32,10,98581.8
5,1,0,0,1,70,2048,6,47774.6
3,1,0,1,1,30,1024,0,12327.0
5,1,0,0,1,0,4096,6,47571.8
4,1,0,1,1,100,16,6,49669.8
1,1,1,1,1,0,256,0,18012.8
2,1,0,0,0,100,4096,6,88249.4
1,0,1,0,0,80,16,4,11924.4
1,0,1,1,1,30,1024,0,17685.2
3,1,0,0,1,10,64,0,12452.8
5,1,0,1,0,10,256,10,301280.6
4,1,0,1,0,20,1,6,48271.8
3,0,1,0,0,60,4,6,13523.6
2,0,0,0,0,40,512,8,101743.2
1,0,0,0,0,50,256,6,89158.2
3,0,1,0,1,80,32,4,12326.0
2,1,1,1,1,90,4096,0,17645.6
5,0,1,0,1,70,1024,2,9127.0
3,0,1,0,1,90,64,2,12098.8
1,0,1,0,0,80,512,2,17699.0
3,0,1,0,1,10,32,8,39245.0
1,0,1,0,0,0,2048,2,17951.4
3,1,0,0,0,10,16,10,49446.2
2,0,1,0,1,90,64,10,101271.4
1,1,0,0,1,70,256,6,88731.4
5,1,1,0,0,60,64,2,9136.2
2,1,0,1,0,60,32,6,91683.4
5,1,1,1,1,50,32,6,47717.2
5,1,1,1,0,90,64,6,47541.0
3,1,0,0,0,10,64,4,12436.8
5,0,0,0,0,60,8,8,121127.2
1,1,1,0,0,10,128,2,17759.8
3,1,1,1,1,90,128,2,12122.0
5,1,1,0,1,30,1,6,47352.6
2,0,0,0,0,90,128,8,100523.2
3,1,1,1,1,60,4096,6,10575.2
4,1,0,1,1,90,8,6,49522.2
2,0,1,0,1,50,1024,0,4860.4
1,0,1,0,0,60,2048,6,89931.4
5,1,1,0,0,100,2,10,299399.2
3,0,0,0,1,0,32,2,16011.4
5,1,0,0,1,70,2048,2,9161.6
4,0,1,1,0,90,2,8,124422.6
4,0,1,1,0,80,64,0,35747.6
