new_column3,new_column2,new_column1,sendfile,basicAuth,maxClients,performance
0,1,4,0,1,1024,32.5466
0,2,4,0,1,4096,167.9556
1,4,4,1,1,2048,168.7032
0,1,0,0,0,4096,31.5282
0,2,0,0,1,512,164.4762
1,3,4,0,1,4096,165.9954
1,3,4,0,0,1024,165.1142
1,2,4,0,1,512,167.9768
0,3,0,1,0,2048,163.467
0,4,0,1,0,4096,166.0144
0,4,0,1,1,2048,165.2694
0,3,4,0,0,2048,167.0674
0,2,0,1,0,512,162.5806
0,2,4,0,0,2048,167.1916
0,0,4,1,1,1024,166.6634
0,4,4,1,0,1024,167.7622
1,3,4,1,1,1024,167.738
1,0,4,0,0,512,167.7768
0,0,4,1,1,4096,167.8852
1,1,0,0,1,512,31.2796
1,2,0,0,1,1024,165.0806
1,2,0,1,0,1024,166.9388
1,1,4,1,1,4096,32.9528
1,2,0,1,0,512,165.1408
0,3,0,1,1,1024,166.492
0,2,0,1,1,512,165.261
0,0,0,1,0,512,166.1266
1,4,0,1,0,1024,166.98
0,2,0,1,1,2048,167.317
1,1,4,1,0,2048,32.39
1,0,4,1,1,4096,166.62
0,4,4,1,0,2048,166.2336
1,1,4,1,0,4096,32.5432
0,3,0,0,0,2048,163.1388
0,2,0,1,0,1024,165.2514
0,1,4,1,1,512,32.465
0,0,4,0,1,2048,166.7918
0,1,0,1,0,512,31.0946
1,0,0,1,0,2048,165.0044
1,4,0,0,1,2048,164.0904
0,4,4,0,1,2048,166.8372
1,2,4,0,0,2048,168.358
1,1,0,0,1,2048,32.0286
0,0,4,0,1,512,166.5286
0,1,0,1,1,512,31.4334
1,0,0,1,1,2048,164.1068
1,0,0,1,0,1024,164.829
0,0,0,0,0,2048,164.191
0,1,4,1,1,2048,32.7328
1,2,4,0,0,1024,168.5756
1,0,4,0,1,512,166.8032
0,3,0,0,0,512,162.6548
1,0,4,0,0,1024,168.0676
1,4,0,0,1,1024,166.6548
0,1,0,1,1,4096,31.7572
1,0,4,1,1,1024,167.7914
0,3,0,0,0,4096,164.7146
0,0,4,0,0,1024,166.8602
1,0,0,0,1,1024,164.7058
1,4,0,1,1,1024,166.7166
0,3,4,0,1,2048,168.3288
0,3,0,1,0,4096,163.597
0,2,0,0,0,4096,165.3918
1,2,0,1,1,2048,165.4646
0,4,4,1,1,2048,166.9416
0,1,4,0,0,512,32.1214
0,3,4,0,0,512,166.6212
0,1,4,0,1,512,32.3318
1,4,4,0,0,512,165.5418
1,1,0,0,1,1024,32.145
1,3,4,0,1,1024,167.4358
1,3,0,1,1,512,163.3164
1,0,0,0,0,4096,164.1756
1,4,0,0,0,2048,165.0488
0,3,4,0,1,4096,165.5558
1,3,4,1,0,4096,167.177
0,0,4,1,0,512,167.0268
0,4,4,0,0,4096,166.5608
0,4,0,0,0,1024,164.7506
1,2,0,0,0,4096,166.5774
0,0,4,0,1,1024,167.3634
0,1,4,1,0,2048,32.0884
0,4,0,0,0,4096,165.3784
1,1,0,1,0,1024,31.9844
1,4,4,1,1,4096,166.8736
0,2,4,0,0,4096,167.098
0,2,4,1,1,512,166.5828
1,0,0,1,0,4096,167.101
1,4,0,1,1,512,161.9186
0,3,4,1,1,4096,166.6048
0,4,4,0,0,1024,166.4434
1,0,4,1,0,512,166.168
1,1,0,1,1,512,32.436
1,2,0,0,0,2048,162.2004
1,4,4,0,1,1024,168.5042
1,2,0,1,1,1024,164.6092
1,3,4,1,0,1024,167.2178
1,2,4,0,1,1024,167.9776
1,4,0,1,1,4096,166.3832
0,1,0,0,1,2048,32.1222
1,4,4,1,0,4096,166.1892
1,1,0,1,1,4096,32.7582
1,1,0,1,0,2048,31.7862
1,2,0,0,0,512,164.3716
0,3,0,1,0,512,163.0798
1,1,4,0,0,4096,32.509
0,0,0,0,0,512,161.8958
1,2,4,1,0,1024,165.88
0,2,4,0,1,2048,166.9488
0,1,0,0,0,512,31.3186
1,0,0,0,1,4096,163.7542
0,4,0,1,0,512,162.5204
0,1,0,0,0,1024,31.2232
0,1,0,1,0,1024,31.4174
0,4,0,0,1,512,165.1774
1,4,0,0,0,512,165.0278
0,3,4,1,0,512,166.5048
0,1,0,1,0,4096,31.6904
0,3,0,1,1,4096,165.733
1,4,4,1,0,512,166.854
0,1,4,0,0,4096,31.9984
0,4,4,0,0,512,167.8128
1,2,4,1,0,2048,167.2368
0,0,0,0,1,1024,163.366
1,0,4,1,1,2048,168.3238
0,1,4,0,0,2048,32.2248
0,4,4,0,1,1024,165.5612
1,2,4,0,0,512,166.3008
0,3,0,1,1,512,166.3334
0,1,0,0,1,4096,32.164
1,3,4,1,1,512,167.95
1,3,0,1,1,2048,165.2798
1,1,0,1,1,2048,32.7946
1,0,0,1,1,4096,165.9072
0,0,4,0,0,2048,164.984
1,4,4,0,0,2048,165.9198
1,4,0,1,0,2048,164.9432
1,1,4,0,0,512,32.4742
0,2,4,0,0,512,167.1056
0,2,0,1,0,2048,164.565
0,1,0,1,0,2048,31.6254
1,4,4,1,0,2048,166.901
0,1,0,1,1,2048,32.3634
1,0,0,1,1,1024,165.6808
0,0,0,0,1,512,162.9272
0,2,4,1,1,4096,167.3416
0,3,0,0,1,1024,164.4738
1,1,4,1,0,512,32.389
0,4,0,1,1,512,164.6706
0,3,4,0,0,1024,167.4082
0,2,4,0,0,1024,167.5178
0,3,4,1,1,1024,165.5956
0,3,0,1,0,1024,164.3172
0,0,0,1,0,2048,163.7926
0,4,0,1,1,1024,164.2734
0,1,4,1,0,4096,32.237
1,4,4,1,1,1024,166.218
0,2,4,1,0,2048,167.6616
1,1,0,1,0,4096,31.8582
0,1,4,1,1,4096,32.4974
