iosCreateImagesetFolders,androidMipmapInsteadOfDrawable,scaleIsHeightDp,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,threads,outputCompressionMode,roundingStrategy,platform,time
0,0,0,0,0,0,90,3,2,3,16.34
0,0,0,0,0,0,10,4,2,1,39.73
0,0,0,0,0,0,10,1,3,3,16.42
0,0,0,0,0,0,10,1,1,3,16.39
0,0,0,0,0,0,90,1,1,2,24.03
0,0,0,0,0,0,90,4,3,4,33.76
0,0,0,0,0,1,90,1,1,1,54.68
0,0,0,0,1,0,90,1,1,2,25.53
0,0,0,1,0,0,90,1,2,4,31.69
0,0,0,0,0,0,90,1,3,4,31.64
0,0,0,0,0,0,10,1,2,1,39.86
0,0,0,0,0,0,90,3,2,1,39.24
0,0,0,0,0,0,90,1,3,3,16.19
0,0,0,0,0,0,90,1,2,4,31.62
0,0,0,0,0,0,90,3,2,3,16.18
0,0,1,0,0,0,10,1,2,1,39.92
0,0,0,0,0,0,10,1,2,3,16.32
0,1,0,0,0,0,10,1,3,1,39.83
0,0,0,0,0,0,90,1,2,2,23.97
0,0,0,0,0,0,90,1,3,1,39.39
0,0,0,0,0,0,90,2,1,3,16.37
0,0,0,0,0,0,90,1,1,4,33.79
0,0,0,0,0,0,10,1,1,4,31.84
1,0,0,0,0,0,90,1,2,2,23.87
0,1,1,1,1,1,90,3,1,1,54.94
0,1,1,1,1,1,90,3,2,1,54.98
0,1,1,1,1,1,90,1,3,1,58.53
0,1,1,1,1,1,10,3,2,1,55.06
0,1,1,1,1,1,10,3,2,1,55.32
0,1,1,1,1,1,90,3,2,1,54.76
0,1,1,1,1,1,10,3,3,1,54.69
1,0,1,1,1,0,10,3,3,2,24.07
0,1,1,1,0,1,10,3,2,1,54.87
0,1,1,0,1,1,90,3,2,1,54.75
0,1,1,1,1,1,90,3,3,1,54.71
0,1,1,1,1,1,90,3,3,1,54.68
0,1,1,1,1,1,90,1,3,1,54.58
0,1,1,1,1,1,90,3,1,1,58.81
0,1,1,1,1,1,10,3,1,1,55.35
0,1,1,1,1,1,10,3,3,1,54.99
0,1,0,1,1,1,90,3,2,1,54.54
0,1,1,1,1,1,90,3,1,1,54.48
1,0,1,1,1,0,10,3,2,2,23.98
0,1,1,1,1,1,90,3,2,1,58.61
1,0,1,1,1,0,90,3,2,2,23.87
0,1,1,1,1,1,10,3,1,1,55.12
0,1,1,1,1,1,10,3,1,1,55.05
0,1,1,1,1,1,10,2,2,1,55.87
0,1,1,1,1,1,90,2,2,1,54.8
0,0,0,0,0,0,10,3,3,1,39.59
0,0,0,0,0,0,10,4,1,4,31.86
0,0,0,0,0,0,90,1,3,4,31.55
0,0,0,0,0,0,10,1,1,2,24.18
0,0,0,0,0,0,10,1,2,4,31.85
0,0,0,0,0,0,10,4,1,3,17.46
0,0,0,0,0,1,90,1,2,1,54.62
0,0,0,0,1,0,90,1,3,2,24.15
0,0,0,1,0,0,10,1,3,4,31.87
0,0,0,0,0,0,90,1,2,4,31.61
0,0,0,0,0,0,10,1,2,2,24.17
0,0,0,0,0,0,10,3,2,1,42.27
0,0,0,0,0,0,90,1,3,3,16.23
0,0,0,0,0,0,10,1,2,1,39.98
0,0,0,0,0,0,10,3,3,3,16.28
0,0,1,0,0,0,90,1,2,2,25.5
0,0,0,0,0,0,10,1,2,3,16.3
0,1,0,0,0,0,10,1,3,1,40.01
0,0,0,0,0,0,90,1,1,2,23.94
0,0,0,0,0,0,90,1,1,1,39.45
0,0,0,0,0,0,90,2,2,2,24.06
0,0,0,0,0,0,90,1,3,2,23.98
0,0,0,0,0,0,10,1,1,2,24.02
1,0,0,0,0,0,10,1,1,2,24.16
0,0,0,0,0,0,10,3,2,3,16.25
0,0,0,0,0,0,10,3,3,3,16.31
0,0,0,0,0,0,10,3,1,2,24.2
0,0,0,0,0,0,10,3,1,4,31.75
0,0,0,0,0,1,90,3,1,1,54.61
0,0,0,0,1,0,90,3,2,1,39.54
0,0,0,1,0,0,90,3,3,4,33.8
0,0,0,0,0,0,90,3,1,4,31.63
0,0,0,0,0,0,10,3,2,4,31.61
0,0,0,0,0,0,90,3,3,4,31.66
0,0,0,0,0,0,90,3,3,3,16.26
0,0,0,0,0,0,90,3,2,4,31.67
0,0,1,0,0,0,10,3,3,4,33.83
0,0,0,0,0,0,10,3,2,1,39.68
0,1,0,0,0,0,90,3,1,1,39.22
0,0,0,0,0,0,10,3,2,2,23.97
