MemoryLimit,Nice,Depth,Dict,Dist,Multithreading,BlockSize,FlushTimeout,PositionBits,check,mfs,Literal Context Bits,time
0,0,0,0,0,0,0,0,0,1,1,9,26.32
0,0,0,0,0,0,0,0,0,2,3,10,22.48
0,0,0,0,0,0,0,0,0,4,3,15,20.61
0,0,0,0,0,0,0,0,0,3,1,15,26.32
0,0,0,0,0,0,0,0,0,3,4,1,30.64
0,0,0,0,0,0,0,0,0,1,5,3,24.91
0,0,0,0,0,0,0,0,0,4,1,1,24.67
0,0,0,0,0,0,0,0,0,2,2,4,23.51
0,0,0,0,0,0,0,0,0,1,3,3,21.77
0,0,0,0,0,0,0,0,1,3,4,1,29.3
0,0,0,0,0,0,0,0,0,4,3,2,22.12
0,0,0,0,0,0,0,0,0,2,1,3,26.21
0,0,0,0,0,0,0,0,0,1,4,4,29.73
0,0,0,0,0,0,0,0,0,2,3,5,22.2
0,0,0,0,0,0,0,0,0,4,2,6,24.12
0,0,0,0,0,0,0,0,0,4,3,7,22.11
0,0,0,0,0,0,0,0,0,3,4,8,30.96
0,0,0,0,0,0,0,0,0,1,4,9,30.99
0,0,0,0,0,0,0,0,0,3,5,10,24.96
0,0,0,0,0,0,0,0,0,1,3,11,20.27
0,0,0,0,0,0,0,0,0,2,3,12,21.91
0,0,0,0,0,0,0,0,0,2,3,13,21.87
0,0,0,0,0,0,0,0,0,2,3,14,21.87
0,0,0,0,0,0,0,0,0,3,3,15,20.21
1,0,0,0,0,0,0,0,0,4,3,3,22.14
0,1,0,0,0,0,0,0,0,1,3,5,22.48
0,0,1,0,0,0,0,0,0,4,3,2,22.54
0,0,0,1,0,0,0,0,0,3,5,10,48.01
0,0,0,0,1,0,0,0,0,1,3,2,26.45
0,0,0,0,0,1,0,0,0,4,3,3,11.21
0,0,0,0,0,0,1,0,0,3,2,2,21.77
0,0,0,0,0,0,0,1,0,4,5,1,25.08
0,0,0,0,0,0,0,0,1,4,3,6,20.62
1,1,1,1,1,1,1,0,0,4,4,15,509.21
1,1,1,1,1,1,1,0,0,3,5,8,105.81
1,1,1,1,1,1,1,0,0,1,4,4,527.58
1,1,1,1,1,1,1,0,0,1,1,14,116.06
1,1,1,1,1,1,1,0,0,2,1,10,117.76
1,1,1,1,1,0,1,1,0,3,1,2,118.08
1,1,1,1,1,0,1,1,0,3,3,6,52.5
1,1,1,1,1,0,1,1,0,1,5,2,104.27
1,1,1,1,1,1,1,0,0,3,5,13,100.25
1,1,1,1,1,0,1,1,0,4,2,7,85.89
1,1,1,1,1,0,1,1,0,1,3,7,45.8
1,1,1,1,1,1,1,0,0,3,1,8,116.83
1,1,1,1,1,0,1,1,0,4,3,2,47.74
1,1,1,1,1,1,1,0,0,1,3,8,93.5
1,1,1,1,1,0,1,1,0,2,3,9,50.08
1,1,1,1,1,1,1,0,0,1,3,4,46.9
1,1,1,1,1,0,1,1,0,3,3,14,52.32
1,1,1,1,1,1,1,0,0,3,5,1,90.03
1,1,1,1,1,1,1,0,0,3,4,5,513.34
1,1,1,1,1,0,1,1,0,3,3,8,49.92
1,1,1,1,1,0,1,1,0,4,3,6,46.55
1,1,1,1,1,0,1,1,0,3,1,1,118.69
1,1,1,1,1,0,1,1,1,3,3,6,51.05
1,1,1,1,1,0,1,1,1,1,3,7,49.47
0,1,1,1,1,0,1,1,0,3,5,1,105.65
1,0,1,1,1,1,1,0,0,3,5,7,103.92
1,1,0,1,1,1,1,0,0,4,5,2,162.87
1,1,1,0,1,0,1,1,0,4,3,5,15.74
1,1,1,1,0,0,1,1,0,3,3,7,76.73
1,1,1,1,1,0,1,1,0,3,3,15,49.74
1,1,1,1,1,1,0,0,0,3,3,2,10.47
1,1,1,1,1,1,1,0,0,4,3,15,49.94
1,1,1,1,1,1,1,0,0,3,5,4,106.74
0,0,0,0,0,0,0,0,0,1,4,11,30.58
0,0,0,0,0,0,0,0,0,1,5,7,25.32
0,0,0,0,0,0,0,0,0,1,1,6,26.54
0,0,0,0,0,0,0,0,0,1,2,10,23.43
0,0,0,0,0,0,0,0,0,1,3,14,21.88
0,0,0,0,0,0,0,0,0,1,3,1,22.48
0,0,0,0,0,0,0,0,0,1,4,2,30.4
0,0,0,0,0,0,0,0,0,1,3,3,21.81
0,0,0,0,0,0,0,0,0,1,3,4,22.15
0,0,0,0,0,0,0,0,0,1,2,5,23.51
0,0,0,0,0,0,0,0,0,1,2,6,23.38
0,0,0,0,0,0,0,0,1,1,5,7,25.63
0,0,0,0,0,0,0,0,0,1,4,8,29.61
0,0,0,0,0,0,0,0,0,1,4,9,30.91
0,0,0,0,0,0,0,0,0,1,3,10,21.84
0,0,0,0,0,0,0,0,0,1,5,11,24.97
0,0,0,0,0,0,0,0,0,1,3,12,22.19
0,0,0,0,0,0,0,0,0,1,2,13,23.54
0,0,0,0,0,0,0,0,0,1,5,14,24.98
0,0,0,0,0,0,0,0,0,1,1,15,26.68
1,0,0,0,0,0,0,0,0,1,3,15,21.9
0,1,0,0,0,0,0,0,0,1,3,1,20.74
