MemoryLimit,Nice,Depth,Dict,Dist,Multithreading,BlockSize,FlushTimeout,PositionBits,check,mfs,Literal Context Bits,time
0,0,0,0,0,0,0,0,0,1,1,9,5.57
0,0,0,0,0,0,0,0,0,2,3,10,4.92
0,0,0,0,0,0,0,0,0,4,3,15,5.03
0,0,0,0,0,0,0,0,0,3,1,15,5.2
0,0,0,0,0,0,0,0,0,3,4,1,5.22
0,0,0,0,0,0,0,0,0,1,5,3,4.9
0,0,0,0,0,0,0,0,0,4,1,1,5.65
0,0,0,0,0,0,0,0,0,2,2,4,4.77
0,0,0,0,0,0,0,0,0,1,3,3,4.9
0,0,0,0,0,0,0,0,1,3,4,1,5.26
0,0,0,0,0,0,0,0,0,4,3,2,5.06
0,0,0,0,0,0,0,0,0,2,1,3,5.59
0,0,0,0,0,0,0,0,0,1,4,4,5.32
0,0,0,0,0,0,0,0,0,2,3,5,4.93
0,0,0,0,0,0,0,0,0,4,2,6,4.87
0,0,0,0,0,0,0,0,0,4,3,7,5.03
0,0,0,0,0,0,0,0,0,3,4,8,5.29
0,0,0,0,0,0,0,0,0,1,4,9,5.33
0,0,0,0,0,0,0,0,0,3,5,10,4.7
0,0,0,0,0,0,0,0,0,1,3,11,4.91
0,0,0,0,0,0,0,0,0,2,3,12,4.94
0,0,0,0,0,0,0,0,0,2,3,13,4.91
0,0,0,0,0,0,0,0,0,2,3,14,4.93
0,0,0,0,0,0,0,0,0,3,3,15,4.9
1,0,0,0,0,0,0,0,0,4,3,3,5.02
0,1,0,0,0,0,0,0,0,1,3,5,5.91
0,0,1,0,0,0,0,0,0,4,3,2,4.77
0,0,0,1,0,0,0,0,0,3,5,10,6.18
0,0,0,0,1,0,0,0,0,1,3,2,4.73
0,0,0,0,0,1,0,0,0,4,3,3,2.66
0,0,0,0,0,0,1,0,0,3,2,2,4.77
0,0,0,0,0,0,0,1,0,4,5,1,4.83
0,0,0,0,0,0,0,0,1,4,3,6,5.01
1,1,1,1,1,1,1,0,0,4,4,15,17.69
1,1,1,1,1,1,1,0,0,3,5,8,10.38
1,1,1,1,1,1,1,0,0,1,4,4,18.11
1,1,1,1,1,1,1,0,0,1,1,14,14.97
1,1,1,1,1,1,1,0,0,2,1,10,14.99
1,1,1,1,1,0,1,1,0,3,1,2,15.3
1,1,1,1,1,0,1,1,0,3,3,6,7.83
1,1,1,1,1,0,1,1,0,1,5,2,10.99
1,1,1,1,1,1,1,0,0,3,5,13,10.51
1,1,1,1,1,0,1,1,0,4,2,7,10.26
1,1,1,1,1,0,1,1,0,1,3,7,7.73
1,1,1,1,1,1,1,0,0,3,1,8,14.7
1,1,1,1,1,0,1,1,0,4,3,2,7.5
1,1,1,1,1,1,1,0,0,1,3,8,7.93
1,1,1,1,1,0,1,1,0,2,3,9,7.69
1,1,1,1,1,1,1,0,0,1,3,4,7.77
1,1,1,1,1,0,1,1,0,3,3,14,7.85
1,1,1,1,1,1,1,0,0,3,5,1,10.68
1,1,1,1,1,1,1,0,0,3,4,5,17.34
1,1,1,1,1,0,1,1,0,3,3,8,7.75
1,1,1,1,1,0,1,1,0,4,3,6,7.48
1,1,1,1,1,0,1,1,0,3,1,1,15.19
1,1,1,1,1,0,1,1,1,3,3,6,7.63
1,1,1,1,1,0,1,1,1,1,3,7,7.92
0,1,1,1,1,0,1,1,0,3,5,1,10.51
1,0,1,1,1,1,1,0,0,3,5,7,9.48
1,1,0,1,1,1,1,0,0,4,5,2,8.86
1,1,1,0,1,0,1,1,0,4,3,5,5.45
1,1,1,1,0,0,1,1,0,3,3,7,8.77
1,1,1,1,1,0,1,1,0,3,3,15,7.85
1,1,1,1,1,1,0,0,0,3,3,2,3.32
1,1,1,1,1,1,1,0,0,4,3,15,7.92
1,1,1,1,1,1,1,0,0,3,5,4,10.41
0,0,0,0,0,0,0,0,0,1,4,11,5.28
0,0,0,0,0,0,0,0,0,1,5,7,4.92
0,0,0,0,0,0,0,0,0,1,1,6,5.22
0,0,0,0,0,0,0,0,0,1,2,10,4.75
0,0,0,0,0,0,0,0,0,1,3,14,4.92
0,0,0,0,0,0,0,0,0,1,3,1,4.89
0,0,0,0,0,0,0,0,0,1,4,2,5.29
0,0,0,0,0,0,0,0,0,1,3,3,4.91
0,0,0,0,0,0,0,0,0,1,3,4,4.91
0,0,0,0,0,0,0,0,0,1,2,5,5.07
0,0,0,0,0,0,0,0,0,1,2,6,4.76
0,0,0,0,0,0,0,0,1,1,5,7,4.9
0,0,0,0,0,0,0,0,0,1,4,8,5.29
0,0,0,0,0,0,0,0,0,1,4,9,5.31
0,0,0,0,0,0,0,0,0,1,3,10,4.91
0,0,0,0,0,0,0,0,0,1,5,11,4.92
0,0,0,0,0,0,0,0,0,1,3,12,4.67
0,0,0,0,0,0,0,0,0,1,2,13,4.75
0,0,0,0,0,0,0,0,0,1,5,14,4.94
0,0,0,0,0,0,0,0,0,1,1,15,5.56
1,0,0,0,0,0,0,0,0,1,3,15,4.91
0,1,0,0,0,0,0,0,0,1,3,1,5.87
0,0,1,0,0,0,0,0,0,1,5,6,5.42
0,0,0,1,0,0,0,0,0,1,4,3,6.69
0,0,0,0,1,0,0,0,0,1,4,5,4.72
0,0,0,0,0,1,0,0,0,1,3,12,2.61
0,0,0,0,0,0,1,0,0,1,3,14,4.66
0,0,0,0,0,0,0,1,0,1,2,6,5.05
0,0,0,0,0,0,0,0,1,1,5,1,4.9
0,0,0,0,0,0,0,0,0,2,4,8,5.29
0,0,0,0,0,0,0,0,0,2,5,8,4.94
0,0,0,0,0,0,0,0,0,2,1,12,5.59
0,0,0,0,0,0,0,0,0,2,2,12,5.08
0,0,0,0,0,0,0,0,0,2,3,8,4.91
0,0,0,0,0,0,0,0,0,2,1,1,5.21
0,0,0,0,0,0,0,0,0,2,1,2,5.23
0,0,0,0,0,0,0,0,0,2,1,3,5.57
0,0,0,0,0,0,0,0,0,2,3,4,4.93
0,0,0,0,0,0,0,0,0,2,5,5,4.94
0,0,0,0,0,0,0,0,0,2,4,6,5.25
0,0,0,0,0,0,0,0,0,2,4,7,5.29
0,0,0,0,0,0,0,0,1,2,5,8,4.94
0,0,0,0,0,0,0,0,0,2,4,9,5.34
0,0,0,0,0,0,0,0,0,2,3,10,4.65
0,0,0,0,0,0,0,0,0,2,4,11,5.31
0,0,0,0,0,0,0,0,0,2,5,12,4.95
0,0,0,0,0,0,0,0,0,2,1,13,5.57
0,0,0,0,0,0,0,0,0,2,4,14,5.34
0,0,0,0,0,0,0,0,0,2,5,15,4.94
1,0,0,0,0,0,0,0,0,2,4,9,5.33
0,1,0,0,0,0,0,0,0,2,2,10,6.04
0,0,1,0,0,0,0,0,0,2,3,14,4.66
0,0,0,1,0,0,0,0,0,2,1,1,6.07
0,0,0,0,1,0,0,0,0,2,1,1,5.37
0,0,0,0,0,1,0,0,0,2,4,1,2.84
0,0,0,0,0,0,1,0,0,2,4,1,5.29
0,0,0,0,0,0,0,1,0,2,3,2,4.92
0,0,0,0,0,0,0,0,1,2,2,2,5.05
0,0,0,0,0,0,0,0,0,4,4,15,5.41
0,0,0,0,0,0,0,0,0,4,5,13,5.02
0,0,0,0,0,0,0,0,0,4,1,2,5.68
0,0,0,0,0,0,0,0,0,4,2,15,4.87
0,0,0,0,0,0,0,0,0,4,3,10,5.02
0,0,0,0,0,0,0,0,0,4,1,1,5.66
0,0,0,0,0,0,0,0,0,4,4,2,5.4
0,0,0,0,0,0,0,0,0,4,3,3,5.03
0,0,0,0,0,0,0,0,0,4,4,4,5.22
0,0,0,0,0,0,0,0,0,4,1,5,5.71
0,0,0,0,0,0,0,0,0,4,1,6,5.66
0,0,0,0,0,0,0,0,0,4,4,7,5.41
0,0,0,0,0,0,0,0,0,4,3,8,5.04
0,0,0,0,0,0,0,0,0,4,3,9,5.04
0,0,0,0,0,0,0,0,0,4,2,10,5.17
0,0,0,0,0,0,0,0,0,4,1,11,5.36
0,0,0,0,0,0,0,0,0,4,1,12,5.69
0,0,0,0,0,0,0,0,0,4,4,13,5.42
0,0,0,0,0,0,0,0,0,4,1,14,5.69
0,0,0,0,0,0,0,0,0,4,3,15,5.02
1,0,0,0,0,0,0,0,0,4,5,13,5.04
0,1,0,0,0,0,0,0,0,4,3,1,5.61
0,0,1,0,0,0,0,0,0,4,3,1,5.01
0,0,0,1,0,0,0,0,0,4,2,4,6.14
0,0,0,0,1,0,0,0,0,4,3,4,4.85
0,0,0,0,0,1,0,0,0,4,5,8,2.69
0,0,0,0,0,0,1,0,0,4,3,13,4.77
0,0,0,0,0,0,0,1,0,4,4,11,5.42
0,0,0,0,0,0,0,0,1,4,4,14,5.47
0,0,0,0,0,0,0,0,0,3,4,7,5.24
0,0,0,0,0,0,0,0,0,3,5,6,4.88
0,0,0,0,0,0,0,0,0,3,1,3,5.54
0,0,0,0,0,0,0,0,0,3,2,6,5.03
0,0,0,0,0,0,0,0,0,3,3,8,4.89
0,0,0,0,0,0,0,0,0,3,4,1,5.04
0,0,0,0,0,0,0,0,0,3,5,2,4.89
0,0,0,0,0,0,0,0,0,3,4,3,5.27
0,0,0,0,0,0,0,0,0,3,3,4,4.89
0,0,0,0,0,0,0,0,0,3,4,5,5.3
0,0,0,0,0,0,0,0,0,3,4,6,5.25
0,0,0,0,0,0,0,0,1,3,4,7,5.28
0,0,0,0,0,0,0,0,1,3,3,8,4.61
0,0,0,0,0,0,0,0,0,3,3,9,4.9
0,0,0,0,0,0,0,0,0,3,5,10,4.88
0,0,0,0,0,0,0,0,0,3,1,11,5.21
0,0,0,0,0,0,0,0,0,3,2,12,5.06
0,0,0,0,0,0,0,0,0,3,5,13,4.91
0,0,0,0,0,0,0,0,0,3,1,14,5.57
0,0,0,0,0,0,0,0,0,3,3,15,4.89
1,0,0,0,0,0,0,0,0,3,4,12,5.29
0,1,0,0,0,0,0,0,0,3,4,13,6.2
0,0,1,0,0,0,0,0,0,3,4,14,6.27
0,0,0,1,0,0,0,0,0,3,2,4,6.0
0,0,0,0,1,0,0,0,0,3,2,3,4.44
0,0,0,0,0,1,0,0,0,3,3,1,2.58
0,0,0,0,0,0,1,0,0,3,3,15,4.9
0,0,0,0,0,0,0,1,0,3,3,1,4.88
0,0,0,0,0,0,0,0,1,3,3,15,4.9
0,0,0,0,0,0,0,0,1,3,4,1,5.25
0,0,0,0,0,0,0,0,1,4,4,2,5.43
0,0,0,0,0,0,0,0,1,3,4,3,5.1
0,0,0,0,0,0,0,0,0,3,4,4,5.31
0,0,0,0,0,0,0,0,0,2,4,5,5.35
0,0,0,0,0,0,0,0,0,4,4,6,5.36
0,0,0,0,0,0,0,0,1,4,4,7,5.44
0,0,0,0,0,0,0,0,1,1,4,8,5.11
0,0,0,0,0,0,0,0,0,4,4,9,5.43
0,0,0,0,0,0,0,0,0,3,4,10,5.26
0,0,0,0,0,0,0,0,1,1,4,11,5.31
0,0,0,0,0,0,0,0,0,3,4,12,5.1
0,0,0,0,0,0,0,0,0,1,4,13,5.3
0,0,0,0,0,0,0,0,1,2,4,14,5.36
0,0,0,0,0,0,0,0,1,4,4,15,5.43
1,0,0,0,0,0,0,0,0,3,4,3,5.25
0,1,0,0,0,0,0,0,0,1,4,4,6.2
0,0,1,0,0,0,0,0,0,3,4,7,6.22
0,0,0,1,0,0,0,0,0,2,4,13,6.75
0,0,0,0,1,0,0,0,0,4,4,15,4.82
0,0,0,0,0,1,0,0,0,1,4,15,2.75
0,0,0,0,0,0,1,0,0,2,4,7,5.29
0,0,0,0,0,0,0,1,0,1,4,14,5.32
0,0,0,0,0,0,0,0,1,2,4,2,5.1
0,0,0,0,0,0,0,0,0,2,5,1,4.9
0,0,0,0,0,0,0,0,0,4,5,2,5.03
0,0,0,0,0,0,0,0,0,3,5,3,4.89
0,0,0,0,0,0,0,0,0,3,5,4,4.72
0,0,0,0,0,0,0,0,0,4,5,5,5.06
0,0,0,0,0,0,0,0,1,3,5,6,4.88
0,0,0,0,0,0,0,0,1,2,5,7,4.93
0,0,0,0,0,0,0,0,0,1,5,8,4.73
0,0,0,0,0,0,0,0,0,3,5,9,4.91
0,0,0,0,0,0,0,0,1,3,5,10,4.89
0,0,0,0,0,0,0,0,0,4,5,11,5.05
0,0,0,0,0,0,0,0,1,2,5,12,4.94
0,0,0,0,0,0,0,0,0,1,5,13,4.92
0,0,0,0,0,0,0,0,0,3,5,14,4.92
0,0,0,0,0,0,0,0,0,4,5,15,5.03
1,0,0,0,0,0,0,0,0,2,5,7,4.92
0,1,0,0,0,0,0,0,0,2,5,13,5.89
0,0,1,0,0,0,0,0,0,3,5,7,5.22
0,0,0,1,0,0,0,0,0,1,5,14,6.28
0,0,0,0,1,0,0,0,0,2,5,9,4.69
0,0,0,0,0,1,0,0,0,4,5,3,2.69
0,0,0,0,0,0,1,0,0,2,5,12,4.97
0,0,0,0,0,0,0,1,0,3,5,1,4.69
0,0,0,0,0,0,0,0,1,1,5,15,4.94
0,0,0,0,0,0,0,0,0,3,1,1,5.52
0,0,0,0,0,0,0,0,0,1,1,2,5.57
0,0,0,0,0,0,0,0,1,3,1,3,5.19
0,0,0,0,0,0,0,0,0,2,1,4,5.58
0,0,0,0,0,0,0,0,1,4,1,5,5.7
0,0,0,0,0,0,0,0,0,3,1,6,5.52
0,0,0,0,0,0,0,0,0,1,1,7,5.55
0,0,0,0,0,0,0,0,0,4,1,8,5.68
0,0,0,0,0,0,0,0,0,1,1,9,5.58
0,0,0,0,0,0,0,0,0,2,1,10,5.56
0,0,0,0,0,0,0,0,1,3,1,11,5.54
0,0,0,0,0,0,0,0,0,3,1,12,5.56
0,0,0,0,0,0,0,0,0,1,1,13,5.56
0,0,0,0,0,0,0,0,0,2,1,14,5.25
0,0,0,0,0,0,0,0,0,4,1,15,5.68
1,0,0,0,0,0,0,0,0,1,1,15,5.56
0,1,0,0,0,0,0,0,0,4,1,11,6.16
0,0,1,0,0,0,0,0,0,2,1,2,5.61
0,0,0,1,0,0,0,0,0,1,1,10,6.43
0,0,0,0,1,0,0,0,0,1,1,15,5.0
0,0,0,0,0,1,0,0,0,4,1,2,3.02
0,0,0,0,0,0,1,0,0,1,1,13,5.58
0,0,0,0,0,0,0,1,0,1,1,9,5.59
0,0,0,0,0,0,0,0,1,2,1,15,5.59
0,0,0,0,0,0,0,0,0,1,2,1,5.04
0,0,0,0,0,0,0,0,0,4,2,2,5.18
0,0,0,0,0,0,0,0,0,2,2,3,5.07
0,0,0,0,0,0,0,0,0,2,2,4,5.08
0,0,0,0,0,0,0,0,0,2,2,5,5.09
0,0,0,0,0,0,0,0,0,4,2,6,5.17
0,0,0,0,0,0,0,0,0,2,2,7,5.07
0,0,0,0,0,0,0,0,0,1,2,8,4.75
0,0,0,0,0,0,0,0,0,1,2,9,5.08
0,0,0,0,0,0,0,0,1,4,2,10,5.17
0,0,0,0,0,0,0,0,0,3,2,11,5.05
0,0,0,0,0,0,0,0,1,2,2,12,5.1
0,0,0,0,0,0,0,0,0,3,2,13,4.74
0,0,0,0,0,0,0,0,0,4,2,14,4.92
0,0,0,0,0,0,0,0,0,1,2,15,5.07
1,0,0,0,0,0,0,0,0,2,2,4,5.09
0,1,0,0,0,0,0,0,0,2,2,2,6.05
0,0,1,0,0,0,0,0,0,3,2,15,5.05
0,0,0,1,0,0,0,0,0,3,2,14,6.01
0,0,0,0,1,0,0,0,0,3,2,15,4.79
0,0,0,0,0,1,0,0,0,2,2,14,2.69
0,0,0,0,0,0,1,0,0,1,2,3,5.06
0,0,0,0,0,0,0,1,0,2,2,1,5.06
0,0,0,0,0,0,0,0,1,4,2,2,5.17
0,0,0,0,0,0,0,0,0,2,3,1,4.9
0,0,0,0,0,0,0,0,0,1,3,2,4.92
0,0,0,0,0,0,0,0,1,1,3,3,4.63
0,0,0,0,0,0,0,0,1,1,3,4,4.91
0,0,0,0,0,0,0,0,0,1,3,5,4.91
0,0,0,0,0,0,0,0,0,1,3,6,4.91
0,0,0,0,0,0,0,0,0,4,3,7,5.02
0,0,0,0,0,0,0,0,1,4,3,8,5.02
0,0,0,0,0,0,0,0,0,1,3,9,4.65
0,0,0,0,0,0,0,0,1,2,3,10,4.66
0,0,0,0,0,0,0,0,0,3,3,11,4.91
0,0,0,0,0,0,0,0,0,2,3,12,4.93
0,0,0,0,0,0,0,0,0,1,3,13,4.9
0,0,0,0,0,0,0,0,1,1,3,14,4.91
0,0,0,0,0,0,0,0,1,4,3,15,5.04
1,0,0,0,0,0,0,0,0,2,3,11,4.93
0,1,0,0,0,0,0,0,0,4,3,6,5.99
0,0,1,0,0,0,0,0,0,1,3,15,4.64
0,0,0,1,0,0,0,0,0,2,3,14,5.88
