MemoryLimit,Nice,Depth,Dict,Dist,Multithreading,BlockSize,FlushTimeout,PositionBits,check,mfs,Literal Context Bits,time
0,0,0,0,0,0,0,0,0,1,1,9,48.95
0,0,0,0,0,0,0,0,0,2,3,10,43.63
0,0,0,0,0,0,0,0,0,4,3,15,41.41
0,0,0,0,0,0,0,0,0,3,1,15,48.7
0,0,0,0,0,0,0,0,0,3,4,1,48.72
0,0,0,0,0,0,0,0,0,1,5,3,46.44
0,0,0,0,0,0,0,0,0,4,1,1,49.25
0,0,0,0,0,0,0,0,0,2,2,4,41.15
0,0,0,0,0,0,0,0,0,1,3,3,43.55
0,0,0,0,0,0,0,0,1,3,4,1,47.88
0,0,0,0,0,0,0,0,0,4,3,2,44.17
0,0,0,0,0,0,0,0,0,2,1,3,49.43
0,0,0,0,0,0,0,0,0,1,4,4,48.23
0,0,0,0,0,0,0,0,0,2,3,5,41.03
0,0,0,0,0,0,0,0,0,4,2,6,41.57
0,0,0,0,0,0,0,0,0,4,3,7,44.25
0,0,0,0,0,0,0,0,0,3,4,8,48.04
0,0,0,0,0,0,0,0,0,1,4,9,48.07
0,0,0,0,0,0,0,0,0,3,5,10,46.38
0,0,0,0,0,0,0,0,0,1,3,11,43.6
0,0,0,0,0,0,0,0,0,2,3,12,43.67
0,0,0,0,0,0,0,0,0,2,3,13,43.69
0,0,0,0,0,0,0,0,0,2,3,14,45.67
0,0,0,0,0,0,0,0,0,3,3,15,43.58
1,0,0,0,0,0,0,0,0,4,3,3,44.22
0,1,0,0,0,0,0,0,0,1,3,5,44.39
0,0,1,0,0,0,0,0,0,4,3,2,41.33
0,0,0,1,0,0,0,0,0,3,5,10,61.01
0,0,0,0,1,0,0,0,0,1,3,2,32.77
0,0,0,0,0,1,0,0,0,4,3,3,22.46
0,0,0,0,0,0,1,0,0,3,2,2,44.08
0,0,0,0,0,0,0,1,0,4,5,1,46.9
0,0,0,0,0,0,0,0,1,4,3,6,44.22
1,1,1,1,1,1,1,0,0,4,4,15,517.17
1,1,1,1,1,1,1,0,0,3,5,8,183.63
1,1,1,1,1,1,1,0,0,1,4,4,512.38
1,1,1,1,1,1,1,0,0,1,1,14,259.6
1,1,1,1,1,1,1,0,0,2,1,10,227.83
1,1,1,1,1,0,1,1,0,3,1,2,231.87
1,1,1,1,1,0,1,1,0,3,3,6,106.27
1,1,1,1,1,0,1,1,0,1,5,2,182.19
1,1,1,1,1,1,1,0,0,3,5,13,187.37
1,1,1,1,1,0,1,1,0,4,2,7,151.26
1,1,1,1,1,0,1,1,0,1,3,7,108.66
1,1,1,1,1,1,1,0,0,3,1,8,256.86
1,1,1,1,1,0,1,1,0,4,3,2,106.51
1,1,1,1,1,1,1,0,0,1,3,8,106.17
1,1,1,1,1,0,1,1,0,2,3,9,104.98
1,1,1,1,1,1,1,0,0,1,3,4,105.16
1,1,1,1,1,0,1,1,0,3,3,14,108.25
1,1,1,1,1,1,1,0,0,3,5,1,187.64
1,1,1,1,1,1,1,0,0,3,4,5,500.31
1,1,1,1,1,0,1,1,0,3,3,8,103.93
1,1,1,1,1,0,1,1,0,4,3,6,106.21
1,1,1,1,1,0,1,1,0,3,1,1,463.28
1,1,1,1,1,0,1,1,1,3,3,6,105.72
1,1,1,1,1,0,1,1,1,1,3,7,108.1
0,1,1,1,1,0,1,1,0,3,5,1,183.87
1,0,1,1,1,1,1,0,0,3,5,7,189.75
1,1,0,1,1,1,1,0,0,4,5,2,146.17
1,1,1,0,1,0,1,1,0,4,3,5,35.84
1,1,1,1,0,0,1,1,0,3,3,7,161.17
1,1,1,1,1,0,1,1,0,3,3,15,108.36
1,1,1,1,1,1,0,0,0,3,3,2,21.73
1,1,1,1,1,1,1,0,0,4,3,15,102.05
1,1,1,1,1,1,1,0,0,3,5,4,170.21
0,0,0,0,0,0,0,0,0,1,4,11,47.81
0,0,0,0,0,0,0,0,0,1,5,7,46.44
0,0,0,0,0,0,0,0,0,1,1,6,48.51
0,0,0,0,0,0,0,0,0,1,2,10,43.98
0,0,0,0,0,0,0,0,0,1,3,14,43.64
0,0,0,0,0,0,0,0,0,1,3,1,43.48
0,0,0,0,0,0,0,0,0,1,4,2,47.89
0,0,0,0,0,0,0,0,0,1,3,3,43.51
0,0,0,0,0,0,0,0,0,1,3,4,43.64
0,0,0,0,0,0,0,0,0,1,2,5,44.13
0,0,0,0,0,0,0,0,0,1,2,6,44.54
0,0,0,0,0,0,0,0,1,1,5,7,46.61
0,0,0,0,0,0,0,0,0,1,4,8,48.2
0,0,0,0,0,0,0,0,0,1,4,9,46.1
0,0,0,0,0,0,0,0,0,1,3,10,43.54
0,0,0,0,0,0,0,0,0,1,5,11,46.55
0,0,0,0,0,0,0,0,0,1,3,12,43.75
0,0,0,0,0,0,0,0,0,1,2,13,44.03
0,0,0,0,0,0,0,0,0,1,5,14,44.46
0,0,0,0,0,0,0,0,0,1,1,15,48.81
1,0,0,0,0,0,0,0,0,1,3,15,44.41
0,1,0,0,0,0,0,0,0,1,3,1,43.42
0,0,1,0,0,0,0,0,0,1,5,6,51.11
0,0,0,1,0,0,0,0,0,1,4,3,67.08
0,0,0,0,1,0,0,0,0,1,4,5,29.04
0,0,0,0,0,1,0,0,0,1,3,12,22.13
0,0,0,0,0,0,1,0,0,1,3,14,44.07
0,0,0,0,0,0,0,1,0,1,2,6,44.0
0,0,0,0,0,0,0,0,1,1,5,1,46.63
0,0,0,0,0,0,0,0,0,2,4,8,45.8
0,0,0,0,0,0,0,0,0,2,5,8,47.97
0,0,0,0,0,0,0,0,0,2,1,12,48.9
0,0,0,0,0,0,0,0,0,2,2,12,44.16
0,0,0,0,0,0,0,0,0,2,3,8,40.87
0,0,0,0,0,0,0,0,0,2,1,1,48.62
0,0,0,0,0,0,0,0,0,2,1,2,49.09
0,0,0,0,0,0,0,0,0,2,1,3,48.59
0,0,0,0,0,0,0,0,0,2,3,4,43.73
0,0,0,0,0,0,0,0,0,2,5,5,46.83
