LZP,ROLZX,RANK,TEXT,skip,BWTS,LZ,MTFT,SRT,X86,checksum,RLT,BWT,ZRLT,ROLZ,jobs,blocksize,entropyType,time
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,2.13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,2,1.45
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,1,2.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,7,7.26
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,6,2.71
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,8,15.66
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,3,2.31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000,8,5.33
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000,7,3.82
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1000,3,3.02
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000,7,4.42
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,7,39.01
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,4,2.58
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1000000,7,958.72
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,7,3.5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,4,2.25
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,8,91.81
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,1,0.94
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,5,0.52
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,7,7.71
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000,5,1029.15
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000,7,3.36
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,7,69.19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,6,0.58
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,7,13.08
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,7,66.33
1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,4,1000000000,7,12.92
1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,4,1000000,3,4.11
1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1000000000,3,9.0
1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,8,1000000000,7,17.51
1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,4,1000000000,7,13.26
1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,8,1000000,4,4.42
0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,8,1000000000,1,11.29
1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,4,1000000000,6,10.19
0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,8,1000000000,7,18.83
1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,4,1000,4,47.71
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,4,1000,4,25.86
1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,8,1000000,4,915.62
0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,4,1000000,7,844.0
1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,4,1000000,3,4.0
1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1000000000,2,8.31
1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1000,8,130.06
1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,4,1000000,8,7.79
1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,4,1000000,7,5.1
0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,8,1000000000,8,18.49
1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,8,1000000000,7,11.31
0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,8,1000,6,19.24
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,4,1000000,4,3.49
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1000000000,6,5.89
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1000,2,61.45
1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1000,4,33.72
1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1000,2,41.45
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,8,1000000000,4,6.41
1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1000000,6,970.65
0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,8,1000000000,6,10.88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,5,1.41
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,5,0.59
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1000000,5,0.83
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000000000,5,1.76
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000000,5,2.67
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,5,0.61
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1000000000,5,2.69
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000000000,5,0.53
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1000000000,5,0.55
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1000,5,0.84
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,5,1.59
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000,5,0.79
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,5,0.95
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000,5,1.58
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000000,5,0.73
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000000,5,2.83
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1000000000,5,2.26
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,5,0.57
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,5,1.22
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,31.45
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,5,0.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1000000000,2,1.45
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,2,0.74
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1000000000,2,0.89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,2,1.35
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,2,0.9
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000000,2,2.75
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,2,15.18
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,2,0.73
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1000000,2,1.8
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000000,2,0.75
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,2,1.83
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,2,19.53
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000,2,13.84
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000,2,0.72
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000,2,0.9
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1000000000,2,2.86
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,1000000,2,1.57
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,2,0.68
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,2,13.12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,2,2.49
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,2,0.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,1,1.39
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,1,0.6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000,1,1.46
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,1,2.3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,1,0.58
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,1,0.58
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1000000000,1,2.73
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,1,1.1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1000000,1,1.18
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000000,1,0.58
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000,1,2.47
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,1,2.81
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000000,1,1.83
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,1,1.55
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000000,1,0.74
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1000,1,5.85
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,1,1.34
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,1,0.51
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,1,1.27
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,1,2.41
