LZP,ROLZX,RANK,TEXT,skip,BWTS,LZ,MTFT,SRT,X86,checksum,RLT,BWT,ZRLT,ROLZ,jobs,blocksize,entropyType,time
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,2.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,2,3.27
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,1,8.02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,7,28.93
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,6,3.76
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,8,47.13
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,3,5.21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000,8,14.27
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000,7,5.46
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1000,3,4.95
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000,7,6.71
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,7,58.41
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,4,8.07
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1000000,7,19.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,7,4.9
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,4,7.94
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,8,126.16
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,1,1.38
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,5,0.61
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,7,34.32
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000,5,1.81
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000,7,5.49
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,7,89.12
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,6,0.83
