LZP,ROLZX,RANK,TEXT,skip,BWTS,LZ,MTFT,SRT,X86,checksum,RLT,BWT,ZRLT,ROLZ,jobs,blocksize,entropyType,time
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,2,0.41
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,1,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,7,0.54
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,6,0.44
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,8,0.95
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,3,0.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000,8,0.56
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000,7,0.43
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1000,3,0.37
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000,7,0.65
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,7,1.56
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,4,0.29
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1000000,7,0.64
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,7,0.43
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,4,0.2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,8,2.88
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,1,0.15
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,5,0.13
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,7,0.7
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000,5,0.33
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000,7,0.43
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,7,2.35
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,6,0.29
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,7,0.44
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,7,2.37
1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,4,1000000000,7,1.07
1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,4,1000000,3,0.71
1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1000000000,3,1.01
1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,8,1000000000,7,1.27
1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,4,1000000000,7,1.17
