LZP,ROLZX,RANK,TEXT,skip,BWTS,LZ,MTFT,SRT,X86,checksum,RLT,BWT,ZRLT,ROLZ,jobs,blocksize,entropyType,time
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,1.19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,2,0.76
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,1,0.96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,7,2.4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,6,1.54
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,8,5.89
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,3,1.28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000,8,1.56
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000,7,1.41
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1000,3,1.34
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000,7,2.17
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,7,14.11
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,4,0.89
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1000000,7,4.48
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,7,1.37
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,4,0.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,8,28.8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,1,0.34
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,5,0.32
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,7,3.35
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000,5,1.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000,7,1.36
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,7,21.83
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,6,0.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,7,3.77
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,7,21.58
1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,4,1000000000,7,4.36
1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,4,1000000,3,1.59
1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1000000000,3,3.92
1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,8,1000000000,7,6.44
1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,4,1000000000,7,4.86
1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,8,1000000,4,2.72
0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,8,1000000000,1,4.39
1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,4,1000000000,6,3.92
0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,8,1000000000,7,6.29
1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,4,1000,4,18.25
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,4,1000,4,10.06
1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,8,1000000,4,2.15
0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,4,1000000,7,2.76
1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,4,1000000,3,2.53
1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1000000000,2,3.53
1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1000,8,46.26
1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,4,1000000,8,3.45
1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,4,1000000,7,2.08
0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,8,1000000000,8,6.24
1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,8,1000000000,7,4.41
0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,8,1000,6,6.36
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,4,1000000,4,2.18
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1000000000,6,2.05
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1000,2,23.43
1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1000,4,13.95
1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1000,2,16.31
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,8,1000000000,4,2.96
1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1000000,6,3.0
0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,8,1000000000,6,4.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,5,0.75
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,5,0.43
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1000000,5,0.39
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000000000,5,0.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000000,5,1.68
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,5,0.46
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1000000000,5,1.72
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000000000,5,0.38
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1000000000,5,0.37
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1000,5,0.41
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,5,0.51
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000,5,0.43
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,5,0.41
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000,5,0.69
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000000,5,0.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000000,5,1.73
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1000000000,5,1.01
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,5,0.65
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,5,0.58
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,9.93
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,5,0.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1000000000,2,0.78
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,2,0.42
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1000000000,2,0.59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,2,0.71
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,2,0.59
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000000,2,1.67
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,2,4.97
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,2,0.46
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1000000,2,0.55
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000000,2,0.42
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,2,0.62
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,2,5.49
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000,2,4.42
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000,2,0.43
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000,2,0.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1000000000,2,1.75
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,1000000,2,1.16
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,2,0.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,2,4.19
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,2,1.1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,2,0.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,1,0.75
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,1,0.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000,1,0.7
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,1,0.99
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,1,0.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,1,0.61
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1000000000,1,1.62
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,1,0.61
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1000000,1,0.75
