LZP,ROLZX,RANK,TEXT,skip,BWTS,LZ,MTFT,SRT,X86,checksum,RLT,BWT,ZRLT,ROLZ,jobs,blocksize,entropyType,time
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,7.36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,2,3.89
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,1,7.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,7,26.64
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,6,6.61
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,8,65.73
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,3,9.21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000,8,11.07
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000,7,10.83
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1000,3,7.29
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000,7,11.37
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,7,126.45
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,4,7.03
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1000000,7,37.64
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,7,9.48
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,4,6.75
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,8,254.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,1,1.27
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000,5,0.65
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,7,31.85
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000,5,3.04
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000,7,10.74
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,7,191.57
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,6,2.16
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000,7,36.51
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,7,193.74
1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,4,1000000000,7,39.08
1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,4,1000000,3,8.23
1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1000000000,3,32.38
1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,8,1000000000,7,60.86
1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,4,1000000000,7,42.61
1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,8,1000000,4,9.08
0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,8,1000000000,1,35.19
1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,4,1000000000,6,31.62
0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,8,1000000000,7,56.57
1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,4,1000,4,157.95
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,4,1000,4,84.96
1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,8,1000000,4,6.08
0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,4,1000000,7,12.72
1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,4,1000000,3,8.84
1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1000000000,2,27.35
1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1000,8,414.73
1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,4,1000000,8,19.8
1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,4,1000000,7,11.65
0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,8,1000000000,8,51.59
1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,8,1000000000,7,37.54
0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,8,1000,6,51.13
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,4,1000000,4,7.02
1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1000000000,6,20.38
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1000,2,206.15
1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1000,4,119.29
1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1000,2,144.61
1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,8,1000000000,4,22.19
1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1000000,6,23.78
0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,8,1000000000,6,37.98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,5,3.75
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,5,0.99
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1000000,5,1.33
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1000000000,5,3.45
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000000,5,12.34
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,5,1.33
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1000000000,5,12.37
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000000000,5,1.27
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1000000000,5,0.97
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1000,5,1.74
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,5,3.65
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000,5,1.33
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000,5,1.25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000,5,2.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000000,5,1.91
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1000000000,5,13.02
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1000000000,5,6.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,5,2.08
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,5,3.24
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000,5,84.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,5,2.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1000000000,2,3.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,2,1.33
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1000000000,2,2.33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000000000,2,3.78
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1000000000,2,2.3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000000000,2,12.71
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,2,41.03
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000000000,2,1.63
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1000000,2,4.32
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1000000000,2,1.34
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000000,2,4.33
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,2,52.96
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000,2,37.1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000,2,1.27
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000,2,2.7
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1000000000,2,13.27
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,1000000,2,2.99
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,2,2.51
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1000,2,35.06
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,2,6.58
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,2,2.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,1,3.66
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1000000000,1,1.25
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000,1,2.69
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,1,6.5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,1,2.21
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,1,2.19
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1000000000,1,12.55
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1000,1,1.72
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1000000,1,2.02
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1000000000,1,1.24
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000,1,5.99
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1000,1,6.84
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1000000000,1,3.72
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1000000,1,4.02
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000000000,1,2.05
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1000,1,20.68
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1000,1,2.55
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000000000,1,2.1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,1,3.46
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1000000000,1,6.76
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1000000000,1,2.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1000000000,6,3.81
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1000000000,4,5.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,3,6.97
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000,8,263.78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1000000000,7,27.91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1000,7,147.37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1000,7,147.74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1000000000,4,5.26
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1000000000,7,32.29
