anyScriptOrigin,validate,onload,dpi,resolution,quality,indexed,mimeType,time
1,1,1,100,8294400,0.9,8,1,1.94
0,0,1,100,307200,0.1,2,2,2.82
1,0,0,400,307200,0.1,1,2,2.88
1,1,0,400,307200,0.1,1,2,3.04
1,1,1,50,8294400,0.9,8,1,2.04
0,0,1,400,307200,0.1,1,2,2.9
1,1,0,200,307200,0.1,1,3,1.72
1,1,0,50,2073600,0.1,1,1,1.68
1,0,0,400,307200,0.1,8,2,2.79
1,1,1,400,2073600,0.1,8,4,1.85
1,1,1,50,2073600,0.9,8,1,1.78
1,1,0,200,307200,0.1,1,4,1.65
0,0,0,400,8294400,0.1,2,3,2.06
1,1,1,100,2073600,0.9,8,1,1.82
1,1,1,400,2073600,0.1,4,4,1.78
1,1,1,400,2073600,0.9,8,1,1.92
0,0,1,400,307200,0.1,8,2,2.92
1,1,1,400,2073600,0.1,8,3,2.06
0,0,0,50,8294400,0.1,1,3,2.01
0,0,0,50,8294400,0.1,1,4,1.77
0,0,0,50,2073600,0.1,1,3,1.6
1,1,1,50,307200,0.9,8,1,1.66
0,0,0,50,2073600,0.1,1,4,1.5
1,1,0,400,307200,0.1,1,4,1.63
1,0,0,200,307200,0.1,8,2,2.89
1,1,1,100,307200,0.9,8,1,1.7
0,0,0,100,2073600,0.1,1,3,1.59
1,1,1,200,2073600,0.9,8,1,1.84
1,1,0,400,307200,0.1,1,3,1.72
1,1,0,50,307200,0.1,1,2,3.1
1,1,0,100,307200,0.1,1,2,3.14
0,0,0,100,2073600,0.1,1,4,1.51
1,1,1,200,8294400,0.9,8,1,1.94
1,1,1,400,8294400,0.9,8,1,1.98
1,1,1,400,2073600,0.1,4,3,2.02
1,1,1,50,2073600,0.1,8,2,3.07
0,0,1,200,307200,0.1,8,2,2.86
1,1,0,50,307200,0.1,1,3,1.68
1,0,0,100,307200,0.1,8,2,3.01
0,0,1,100,307200,0.1,8,2,2.88
1,1,0,50,307200,0.1,1,4,1.61
0,1,0,200,307200,0.1,8,2,3.13
1,1,0,100,307200,0.1,1,4,1.66
1,1,1,400,8294400,0.1,8,1,2.04
1,1,1,50,2073600,0.1,4,2,3.12
1,1,0,100,307200,0.1,1,3,1.68
1,1,1,200,2073600,0.1,8,2,3.15
0,1,1,400,307200,0.1,1,3,1.76
0,0,0,100,8294400,0.1,1,3,1.94
0,0,0,100,8294400,0.1,1,4,1.74
1,1,1,200,2073600,0.1,4,2,3.18
0,0,0,100,8294400,0.1,1,2,2.81
0,1,1,400,307200,0.1,1,4,1.72
1,1,1,200,8294400,0.1,8,1,2.04
0,1,0,100,307200,0.1,8,2,3.06
1,1,1,400,2073600,0.1,8,1,1.75
1,0,0,200,307200,0.1,4,2,2.84
1,1,1,200,2073600,0.1,8,1,1.8
1,1,1,50,307200,0.1,8,1,1.71
0,0,0,100,2073600,0.1,1,2,2.95
0,0,0,100,307200,0.1,1,4,1.45
0,1,0,200,307200,0.1,4,2,3.13
0,0,1,200,307200,0.1,4,2,2.91
1,0,0,200,307200,0.1,1,2,2.93
1,1,1,100,307200,0.1,8,1,1.68
1,1,1,400,307200,0.1,8,2,3.1
0,1,0,200,307200,0.1,1,2,3.05
1,1,1,400,307200,0.1,4,2,3.08
0,1,1,400,307200,0.1,1,2,3.13
0,1,1,50,307200,0.1,1,3,1.75
0,0,0,100,307200,0.1,1,3,1.47
1,1,1,50,307200,0.1,8,4,1.69
0,1,1,50,307200,0.1,1,4,1.8
0,0,0,50,307200,0.1,1,4,1.39
0,1,1,50,307200,0.1,1,2,3.25
0,1,1,100,307200,0.1,1,4,1.77
0,0,1,200,307200,0.1,1,2,2.95
1,0,0,100,307200,0.1,4,2,2.86
0,1,0,100,307200,0.1,4,2,3.1
1,1,1,400,307200,0.1,8,1,1.71
1,1,1,50,307200,0.1,4,4,1.7
0,0,1,100,307200,0.1,4,2,2.97
