anyScriptOrigin,validate,onload,dpi,resolution,quality,indexed,mimeType,time
1,1,1,100,8294400,0.9,8,1,7.7
0,0,1,100,307200,0.1,2,2,5.55
1,0,0,400,307200,0.1,1,2,5.14
1,1,0,400,307200,0.1,1,2,6.93
1,1,1,50,8294400,0.9,8,1,8.16
0,0,1,400,307200,0.1,1,2,5.69
1,1,0,200,307200,0.1,1,3,6.17
1,1,0,50,2073600,0.1,1,1,6.34
1,0,0,400,307200,0.1,8,2,5.31
1,1,1,400,2073600,0.1,8,4,6.84
1,1,1,50,2073600,0.9,8,1,6.66
1,1,0,200,307200,0.1,1,4,6.0
0,0,0,400,8294400,0.1,2,3,6.42
1,1,1,100,2073600,0.9,8,1,6.87
1,1,1,400,2073600,0.1,4,4,6.75
1,1,1,400,2073600,0.9,8,1,7.06
0,0,1,400,307200,0.1,8,2,5.78
1,1,1,400,2073600,0.1,8,3,7.1
0,0,0,50,8294400,0.1,1,3,6.18
0,0,0,50,8294400,0.1,1,4,5.76
0,0,0,50,2073600,0.1,1,3,4.95
1,1,1,50,307200,0.9,8,1,6.2
0,0,0,50,2073600,0.1,1,4,4.73
1,1,0,400,307200,0.1,1,4,5.9
1,0,0,200,307200,0.1,8,2,5.46
1,1,1,100,307200,0.9,8,1,6.29
0,0,0,100,2073600,0.1,1,3,4.99
1,1,1,200,2073600,0.9,8,1,6.9
1,1,0,400,307200,0.1,1,3,6.17
1,1,0,50,307200,0.1,1,2,7.0
1,1,0,100,307200,0.1,1,2,7.35
0,0,0,100,2073600,0.1,1,4,4.83
1,1,1,200,8294400,0.9,8,1,7.8
1,1,1,400,8294400,0.9,8,1,7.63
1,1,1,400,2073600,0.1,4,3,6.99
1,1,1,50,2073600,0.1,8,2,7.34
0,0,1,200,307200,0.1,8,2,5.7
1,1,0,50,307200,0.1,1,3,5.98
1,0,0,100,307200,0.1,8,2,5.63
0,0,1,100,307200,0.1,8,2,5.76
1,1,0,50,307200,0.1,1,4,5.77
0,1,0,200,307200,0.1,8,2,7.05
1,1,0,100,307200,0.1,1,4,6.11
1,1,1,400,8294400,0.1,8,1,8.01
1,1,1,50,2073600,0.1,4,2,7.38
1,1,0,100,307200,0.1,1,3,6.29
1,1,1,200,2073600,0.1,8,2,7.43
0,1,1,400,307200,0.1,1,3,6.41
0,0,0,100,8294400,0.1,1,3,6.23
0,0,0,100,8294400,0.1,1,4,5.76
1,1,1,200,2073600,0.1,4,2,7.55
0,0,0,100,8294400,0.1,1,2,5.38
0,1,1,400,307200,0.1,1,4,6.22
1,1,1,200,8294400,0.1,8,1,8.16
0,1,0,100,307200,0.1,8,2,6.96
1,1,1,400,2073600,0.1,8,1,6.61
1,0,0,200,307200,0.1,4,2,5.39
1,1,1,200,2073600,0.1,8,1,6.75
1,1,1,50,307200,0.1,8,1,6.37
0,0,0,100,2073600,0.1,1,2,5.63
0,0,0,100,307200,0.1,1,4,4.4
0,1,0,200,307200,0.1,4,2,7.02
0,0,1,200,307200,0.1,4,2,5.79
1,0,0,200,307200,0.1,1,2,5.44
1,1,1,100,307200,0.1,8,1,6.29
1,1,1,400,307200,0.1,8,2,7.21
0,1,0,200,307200,0.1,1,2,6.97
1,1,1,400,307200,0.1,4,2,7.3
0,1,1,400,307200,0.1,1,2,7.53
0,1,1,50,307200,0.1,1,3,6.32
0,0,0,100,307200,0.1,1,3,4.42
1,1,1,50,307200,0.1,8,4,6.23
0,1,1,50,307200,0.1,1,4,6.52
0,0,0,50,307200,0.1,1,4,4.31
0,1,1,50,307200,0.1,1,2,7.66
0,1,1,100,307200,0.1,1,4,6.55
0,0,1,200,307200,0.1,1,2,5.77
1,0,0,100,307200,0.1,4,2,5.37
0,1,0,100,307200,0.1,4,2,7.07
1,1,1,400,307200,0.1,8,1,6.27
1,1,1,50,307200,0.1,4,4,6.19
0,0,1,100,307200,0.1,4,2,5.89
1,0,0,100,307200,0.1,1,2,5.48
1,1,1,50,307200,0.1,8,3,6.38
0,1,0,100,307200,0.1,1,2,7.06
1,1,1,200,307200,0.1,8,1,6.46
1,1,1,50,307200,0.1,4,3,6.22
0,1,1,100,307200,0.1,1,3,6.3
1,1,1,200,307200,0.1,8,4,6.15
0,0,1,100,307200,0.1,1,2,5.99
0,1,1,100,307200,0.1,1,2,7.31
0,1,0,400,307200,0.9,1,1,6.02
0,1,0,400,307200,0.9,4,1,5.86
1,0,0,100,307200,0.1,8,3,4.61
0,1,0,400,307200,0.9,2,1,5.98
1,1,1,400,307200,0.9,8,1,6.08
0,0,1,400,307200,0.9,4,1,4.8
1,1,1,200,307200,0.1,4,4,6.15
1,1,1,200,307200,0.1,8,3,6.33
1,1,1,200,307200,0.1,4,3,6.47
1,0,0,100,307200,0.1,4,3,4.56
0,0,0,50,307200,0.1,1,3,4.39
1,0,0,400,307200,0.9,4,1,4.3
1,1,1,400,8294400,0.1,4,3,8.65
1,1,1,400,8294400,0.1,8,3,8.28
0,0,0,400,307200,0.1,1,4,4.54
0,1,0,100,307200,0.1,8,3,6.0
0,0,0,400,307200,0.1,1,3,4.32
0,0,0,400,307200,0.1,1,2,5.69
1,1,1,400,307200,0.1,1,3,6.45
