anyScriptOrigin,validate,onload,dpi,resolution,quality,indexed,mimeType,time
1,1,1,100,8294400,0.9,8,1,18.47
0,0,1,100,307200,0.1,2,2,8.93
1,0,0,400,307200,0.1,1,2,8.75
1,1,0,400,307200,0.1,1,2,9.69
1,1,1,50,8294400,0.9,8,1,19.04
0,0,1,400,307200,0.1,1,2,9.09
1,1,0,200,307200,0.1,1,3,8.35
1,1,0,50,2073600,0.1,1,1,12.14
1,0,0,400,307200,0.1,8,2,8.55
1,1,1,400,2073600,0.1,8,4,12.64
1,1,1,50,2073600,0.9,8,1,12.11
1,1,0,200,307200,0.1,1,4,8.08
0,0,0,400,8294400,0.1,2,3,17.78
1,1,1,100,2073600,0.9,8,1,12.64
1,1,1,400,2073600,0.1,4,4,12.22
1,1,1,400,2073600,0.9,8,1,12.84
0,0,1,400,307200,0.1,8,2,9.2
1,1,1,400,2073600,0.1,8,3,12.77
0,0,0,50,8294400,0.1,1,3,17.29
0,0,0,50,8294400,0.1,1,4,17.29
0,0,0,50,2073600,0.1,1,3,11.34
1,1,1,50,307200,0.9,8,1,8.28
0,0,0,50,2073600,0.1,1,4,10.99
1,1,0,400,307200,0.1,1,4,8.06
1,0,0,200,307200,0.1,8,2,8.79
1,1,1,100,307200,0.9,8,1,8.32
0,0,0,100,2073600,0.1,1,3,11.02
1,1,1,200,2073600,0.9,8,1,12.62
1,1,0,400,307200,0.1,1,3,8.38
1,1,0,50,307200,0.1,1,2,9.45
1,1,0,100,307200,0.1,1,2,10.06
0,0,0,100,2073600,0.1,1,4,11.33
1,1,1,200,8294400,0.9,8,1,18.56
1,1,1,400,8294400,0.9,8,1,18.25
1,1,1,400,2073600,0.1,4,3,12.21
1,1,1,50,2073600,0.1,8,2,10.15
0,0,1,200,307200,0.1,8,2,8.93
1,1,0,50,307200,0.1,1,3,8.14
1,0,0,100,307200,0.1,8,2,9.04
0,0,1,100,307200,0.1,8,2,9.07
1,1,0,50,307200,0.1,1,4,7.98
0,1,0,200,307200,0.1,8,2,9.72
1,1,0,100,307200,0.1,1,4,8.35
1,1,1,400,8294400,0.1,8,1,19.33
1,1,1,50,2073600,0.1,4,2,10.01
1,1,0,100,307200,0.1,1,3,8.15
1,1,1,200,2073600,0.1,8,2,10.21
0,1,1,400,307200,0.1,1,3,8.47
0,0,0,100,8294400,0.1,1,3,17.52
0,0,0,100,8294400,0.1,1,4,17.35
1,1,1,200,2073600,0.1,4,2,10.47
0,0,0,100,8294400,0.1,1,2,8.54
0,1,1,400,307200,0.1,1,4,8.38
1,1,1,200,8294400,0.1,8,1,19.74
0,1,0,100,307200,0.1,8,2,9.44
1,1,1,400,2073600,0.1,8,1,12.1
1,0,0,200,307200,0.1,4,2,8.61
1,1,1,200,2073600,0.1,8,1,12.52
1,1,1,50,307200,0.1,8,1,8.47
0,0,0,100,2073600,0.1,1,2,8.95
0,0,0,100,307200,0.1,1,4,7.42
0,1,0,200,307200,0.1,4,2,9.74
0,0,1,200,307200,0.1,4,2,8.97
1,0,0,200,307200,0.1,1,2,8.75
1,1,1,100,307200,0.1,8,1,8.26
1,1,1,400,307200,0.1,8,2,9.95
0,1,0,200,307200,0.1,1,2,9.6
1,1,1,400,307200,0.1,4,2,9.96
0,1,1,400,307200,0.1,1,2,10.2
0,1,1,50,307200,0.1,1,3,8.32
0,0,0,100,307200,0.1,1,3,7.39
1,1,1,50,307200,0.1,8,4,8.25
0,1,1,50,307200,0.1,1,4,8.63
0,0,0,50,307200,0.1,1,4,7.25
0,1,1,50,307200,0.1,1,2,10.59
0,1,1,100,307200,0.1,1,4,8.83
0,0,1,200,307200,0.1,1,2,9.17
1,0,0,100,307200,0.1,4,2,8.66
0,1,0,100,307200,0.1,4,2,9.79
1,1,1,400,307200,0.1,8,1,8.51
1,1,1,50,307200,0.1,4,4,8.34
0,0,1,100,307200,0.1,4,2,9.0
1,0,0,100,307200,0.1,1,2,8.59
1,1,1,50,307200,0.1,8,3,8.37
0,1,0,100,307200,0.1,1,2,9.63
1,1,1,200,307200,0.1,8,1,8.65
1,1,1,50,307200,0.1,4,3,8.34
0,1,1,100,307200,0.1,1,3,8.37
1,1,1,200,307200,0.1,8,4,8.35
0,0,1,100,307200,0.1,1,2,9.53
0,1,1,100,307200,0.1,1,2,10.32
0,1,0,400,307200,0.9,1,1,8.17
0,1,0,400,307200,0.9,4,1,7.96
1,0,0,100,307200,0.1,8,3,7.66
0,1,0,400,307200,0.9,2,1,8.13
1,1,1,400,307200,0.9,8,1,8.45
0,0,1,400,307200,0.9,4,1,7.58
1,1,1,200,307200,0.1,4,4,8.29
1,1,1,200,307200,0.1,8,3,8.37
1,1,1,200,307200,0.1,4,3,8.64
1,0,0,100,307200,0.1,4,3,7.47
0,0,0,50,307200,0.1,1,3,7.17
1,0,0,400,307200,0.9,4,1,7.21
1,1,1,400,8294400,0.1,4,3,18.49
1,1,1,400,8294400,0.1,8,3,18.86
0,0,0,400,307200,0.1,1,4,7.49
0,1,0,100,307200,0.1,8,3,8.2
0,0,0,400,307200,0.1,1,3,7.22
0,0,0,400,307200,0.1,1,2,9.02
1,1,1,400,307200,0.1,1,3,8.59
0,1,0,100,307200,0.1,4,3,8.11
0,0,0,50,307200,0.1,1,2,8.68
0,0,0,100,307200,0.1,1,2,8.76
0,0,0,400,307200,0.1,4,4,7.16
1,1,1,200,307200,0.9,8,1,8.57
0,0,1,100,307200,0.1,8,3,7.64
1,1,1,100,2073600,0.1,8,1,12.47
0,0,1,100,307200,0.1,4,3,7.56
0,0,1,200,307200,0.1,8,3,7.75
0,0,0,400,307200,0.1,4,3,7.52
1,1,1,100,2073600,0.9,4,1,12.17
0,0,1,200,307200,0.1,8,4,7.69
0,0,0,50,307200,0.1,4,4,7.36
0,0,0,200,307200,0.9,8,1,7.35
1,1,1,100,2073600,0.1,4,1,12.18
1,1,1,100,2073600,0.9,1,1,12.88
0,0,0,50,307200,0.1,4,3,7.19
1,1,1,400,307200,0.1,1,4,8.28
0,0,0,100,307200,0.1,4,4,7.38
0,0,0,200,307200,0.1,8,1,7.39
0,0,1,200,2073600,0.1,8,2,9.05
0,0,1,200,2073600,0.1,8,3,11.95
1,1,1,50,2073600,0.9,1,1,12.4
0,0,1,400,307200,0.9,1,1,7.86
1,0,0,400,307200,0.9,1,1,7.31
1,1,1,50,8294400,0.1,1,3,18.46
0,0,1,400,307200,0.9,2,1,7.65
0,0,1,200,2073600,0.1,8,4,11.53
0,0,0,200,2073600,0.9,8,1,11.34
0,0,0,100,307200,0.1,4,3,7.34
1,1,1,50,8294400,0.1,1,4,18.38
1,1,1,50,307200,0.1,1,2,10.26
1,1,1,400,8294400,0.1,1,2,10.23
1,1,1,400,307200,0.1,4,4,8.35
0,0,0,200,2073600,0.1,8,1,10.97
1,0,0,200,307200,0.1,8,3,7.54
1,0,0,200,307200,0.1,8,4,7.56
1,1,1,50,2073600,0.1,1,1,12.37
1,0,0,400,307200,0.9,2,1,7.28
0,0,1,400,8294400,0.9,4,1,17.86
1,0,0,200,2073600,0.1,8,3,11.52
1,1,1,400,307200,0.1,8,4,8.44
1,0,0,200,2073600,0.1,8,4,11.22
1,1,1,400,8294400,0.1,4,2,10.22
0,0,0,50,307200,0.1,2,4,7.36
1,1,1,400,8294400,0.1,8,2,10.02
1,1,1,400,307200,0.1,4,3,8.37
1,1,1,400,307200,0.1,8,3,8.82
1,1,1,100,2073600,0.1,1,1,12.79
1,1,1,100,307200,0.1,4,2,10.07
1,1,1,100,307200,0.1,8,2,10.2
0,0,0,50,307200,0.1,2,3,7.13
0,0,1,400,8294400,0.9,1,1,18.35
0,0,1,400,8294400,0.9,2,1,17.99
0,0,0,400,307200,0.1,2,4,7.04
0,0,0,400,307200,0.1,2,3,7.24
1,0,0,200,2073600,0.1,8,2,8.57
1,1,1,100,307200,0.1,1,2,10.33
1,1,1,400,2073600,0.1,1,2,10.18
1,1,1,50,8294400,0.9,1,1,18.6
1,1,1,50,8294400,0.1,1,1,18.62
0,0,1,400,2073600,0.9,4,1,11.69
1,1,1,100,8294400,0.1,1,4,19.92
1,1,1,100,8294400,0.1,1,3,18.52
1,1,1,50,8294400,0.9,2,1,18.24
1,1,1,50,8294400,0.1,2,1,19.59
1,1,0,100,8294400,0.9,1,1,18.21
0,0,1,200,2073600,0.1,4,2,8.93
1,1,1,50,8294400,0.9,4,1,18.34
0,0,0,100,307200,0.1,2,4,7.37
1,1,1,50,8294400,0.1,4,1,18.87
0,0,1,50,307200,0.9,4,1,7.77
1,1,1,100,8294400,0.9,1,1,18.65
0,0,0,100,307200,0.1,2,3,7.45
1,1,1,100,8294400,0.1,1,1,19.44
0,0,0,400,307200,0.1,8,4,7.21
0,0,1,200,2073600,0.1,4,3,11.78
0,0,0,400,307200,0.1,8,3,7.3
0,1,0,50,307200,0.9,4,1,8.06
0,0,1,200,2073600,0.1,4,4,11.59
0,0,0,50,307200,0.1,8,4,7.46
1,0,1,100,8294400,0.9,1,1,18.9
1,1,1,100,8294400,0.9,2,1,18.22
0,0,1,50,307200,0.1,4,1,7.68
0,0,1,200,307200,0.1,4,3,7.84
1,1,0,100,8294400,0.9,4,1,19.06
0,0,0,50,307200,0.1,8,3,7.27
1,1,0,100,8294400,0.9,8,1,17.95
0,0,1,200,307200,0.1,4,4,7.6
1,1,1,100,8294400,0.1,2,1,18.21
1,1,1,100,8294400,0.9,4,1,18.75
0,0,1,400,307200,0.1,4,1,7.55
1,1,1,100,8294400,0.1,4,1,18.68
0,0,0,400,307200,0.1,8,2,8.67
1,1,1,100,8294400,0.1,4,4,19.08
0,0,0,50,307200,0.1,8,2,8.96
0,0,0,200,2073600,0.9,4,1,11.25
1,1,1,100,8294400,0.1,8,4,18.47
0,1,0,400,307200,0.1,4,1,8.1
0,1,0,50,307200,0.1,4,1,8.09
0,0,0,200,2073600,0.1,4,1,11.28
0,0,0,200,307200,0.9,4,1,7.48
1,1,1,400,8294400,0.9,1,1,18.29
0,0,0,200,307200,0.1,4,1,7.53
0,1,1,400,307200,0.1,4,3,8.56
1,1,1,200,8294400,0.9,1,1,18.32
1,1,1,200,8294400,0.9,4,1,18.44
0,1,1,400,307200,0.1,4,4,8.43
1,1,1,100,8294400,0.1,4,3,19.24
1,0,0,200,2073600,0.1,4,2,8.91
1,1,1,200,2073600,0.9,4,1,12.38
0,1,1,400,307200,0.1,4,2,10.12
1,1,1,400,2073600,0.9,4,1,12.52
0,0,0,100,307200,0.1,8,4,7.35
0,0,0,100,307200,0.1,8,3,7.5
0,0,0,100,307200,0.1,8,2,8.64
0,0,0,400,307200,0.1,4,2,8.94
1,1,1,400,2073600,0.1,4,1,12.49
1,1,1,100,307200,0.1,4,1,8.22
0,1,1,50,307200,0.1,4,3,8.72
0,0,0,400,8294400,0.1,4,4,17.32
0,1,1,50,307200,0.1,4,4,8.37
1,1,1,400,307200,0.1,4,1,8.45
1,1,1,100,8294400,0.1,8,3,19.88
1,1,1,400,307200,0.9,4,1,8.33
0,0,0,400,8294400,0.1,4,3,17.25
1,1,1,200,307200,0.9,4,1,8.6
0,0,0,50,8294400,0.1,4,4,17.94
0,1,0,200,2073600,0.1,8,2,9.69
0,1,1,50,307200,0.1,4,2,10.27
1,0,1,100,8294400,0.9,4,1,17.83
0,1,0,200,2073600,0.1,4,2,9.54
0,0,0,50,8294400,0.1,4,3,18.19
1,1,1,200,307200,0.1,4,1,8.56
0,0,0,400,8294400,0.1,1,4,18.41
0,0,1,50,8294400,0.9,4,1,17.63
0,0,1,400,8294400,0.1,4,1,17.86
0,0,1,50,307200,0.1,8,2,9.28
0,0,1,50,8294400,0.1,4,1,18.02
1,1,1,400,307200,0.9,1,1,8.18
0,0,1,400,2073600,0.1,8,2,9.33
1,1,1,400,307200,0.1,1,1,8.34
1,1,1,200,307200,0.1,1,1,8.52
1,1,1,200,307200,0.9,1,1,8.42
1,1,1,50,2073600,0.1,4,1,12.15
0,0,1,50,2073600,0.1,8,2,8.94
1,1,1,50,2073600,0.9,4,1,12.46
0,0,1,100,2073600,0.1,8,2,8.94
0,0,1,400,307200,0.1,8,3,8.04
0,1,1,400,8294400,0.1,4,3,18.5
1,0,1,100,8294400,0.9,8,1,17.52
0,0,1,400,307200,0.1,8,4,7.89
1,1,1,50,2073600,0.1,8,1,12.58
0,0,1,50,307200,0.1,8,3,7.7
0,0,1,50,307200,0.1,8,4,7.8
0,1,1,100,8294400,0.9,1,1,19.01
0,0,0,400,8294400,0.1,1,3,18.03
0,1,1,400,8294400,0.1,4,4,18.89
0,0,0,100,8294400,0.1,4,4,17.89
1,1,1,50,8294400,0.1,8,1,18.34
0,0,1,100,307200,0.1,8,4,7.58
1,1,1,100,8294400,0.1,8,1,18.64
0,1,0,400,8294400,0.9,4,1,18.25
0,0,0,100,8294400,0.1,4,3,18.13
0,1,1,400,8294400,0.1,4,2,10.52
0,0,0,400,2073600,0.1,4,4,11.18
0,1,1,100,8294400,0.9,2,1,18.65
0,0,0,400,2073600,0.1,4,3,11.5
1,1,1,50,2073600,0.9,2,1,12.37
0,1,1,50,8294400,0.1,4,3,18.51
1,1,1,100,8294400,0.1,2,4,18.57
0,1,1,50,8294400,0.1,4,4,19.22
0,0,1,400,2073600,0.1,8,3,11.61
0,0,0,50,2073600,0.1,4,4,11.41
0,0,0,50,2073600,0.1,4,3,11.16
0,0,0,400,2073600,0.1,1,4,11.24
0,1,0,50,8294400,0.9,4,1,17.85
0,0,1,400,2073600,0.1,8,4,12.03
1,1,1,50,2073600,0.1,2,1,12.57
0,0,0,400,2073600,0.1,1,3,11.38
0,0,1,50,2073600,0.1,8,3,11.92
1,1,1,100,8294400,0.1,2,3,20.03
1,1,0,100,8294400,0.9,2,1,18.32
0,0,1,50,2073600,0.1,8,4,11.64
0,1,1,50,8294400,0.1,4,2,10.08
1,0,1,100,8294400,0.9,2,1,17.83
1,1,1,100,2073600,0.9,2,1,12.83
1,1,1,100,2073600,0.1,2,1,12.23
1,1,0,100,8294400,0.1,2,1,17.84
1,1,1,400,307200,0.9,2,1,8.45
0,0,0,100,2073600,0.1,4,4,11.45
0,0,0,100,2073600,0.1,4,3,11.68
1,1,1,400,307200,0.1,2,1,8.43
1,1,1,200,307200,0.9,2,1,8.49
0,0,0,400,8294400,0.1,2,4,17.34
0,0,0,50,8294400,0.1,2,4,17.27
0,0,0,50,8294400,0.1,2,3,18.35
0,1,0,400,8294400,0.1,4,1,18.32
1,1,1,200,307200,0.1,2,1,8.44
0,1,0,50,8294400,0.1,4,1,18.01
0,0,1,50,2073600,0.9,4,1,11.75
0,0,1,100,2073600,0.1,8,3,11.43
1,0,1,100,8294400,0.1,2,1,18.62
0,1,1,100,8294400,0.1,2,1,18.93
1,1,1,400,2073600,0.1,1,1,12.4
1,1,1,400,2073600,0.9,1,1,12.38
0,1,1,400,8294400,0.1,2,1,18.91
