encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,0,0,3,15.17
0,1,0,0,0,0,3,11.21
0,0,0,0,0,0,1,22.65
0,0,0,0,0,0,2,19.52
0,0,0,0,0,0,3,11.69
0,0,0,0,0,0,4,11.27
0,0,0,0,0,0,5,163.76
0,0,1,0,0,0,5,163.34
0,0,0,1,0,0,1,14.54
0,0,0,0,1,0,1,163.08
0,0,0,0,0,1,3,11.31
0,1,1,1,1,0,4,15.43
1,0,1,1,1,0,5,99.66
1,1,1,1,1,0,4,16.7
1,1,1,1,1,0,5,100.16
1,1,1,1,1,0,1,18.66
1,1,1,1,1,0,2,14.52
1,1,1,1,1,0,3,15.46
1,1,0,1,1,0,1,18.03
1,1,1,0,1,0,1,25.54
1,1,1,1,0,0,2,18.25
1,1,0,1,1,0,2,14.11
1,1,0,0,0,0,1,25.93
1,0,0,0,0,0,1,26.04
1,0,0,0,0,0,2,23.01
1,0,0,0,0,0,4,15.22
1,0,0,0,0,0,5,165.65
1,0,1,0,0,0,2,14.94
1,0,0,1,0,0,2,14.37
1,0,0,0,1,0,2,15.48
1,0,0,0,0,1,3,15.27
0,1,0,0,0,0,1,22.97
0,1,0,0,0,0,2,19.9
0,1,0,0,0,0,4,10.97
0,1,0,0,0,0,5,163.6
0,1,1,0,0,0,2,11.16
0,1,0,1,0,0,2,14.39
0,1,0,0,1,0,3,22.7
0,1,0,0,0,1,3,11.69
0,0,1,0,0,0,1,23.03
0,0,1,0,0,0,2,23.01
0,0,0,1,0,0,2,19.74
0,0,0,0,1,0,2,13.55
0,0,1,0,0,0,3,19.55
0,0,0,1,0,0,3,11.33
0,0,0,0,1,0,3,11.32
0,0,1,0,0,0,4,11.61
0,0,0,1,0,0,4,11.27
0,0,0,0,1,0,4,11.34
0,0,0,1,0,0,5,10.9
0,0,0,0,1,0,5,99.95
0,0,1,1,0,0,2,11.16
0,0,1,0,1,0,1,19.9
0,0,1,0,0,1,3,11.35
0,0,0,1,1,1,3,13.23
0,0,0,1,0,1,3,11.28
0,0,0,0,1,1,3,11.33
0,0,1,1,1,0,5,99.88
0,1,1,1,1,0,5,100.13
0,1,1,1,1,0,3,11.29
0,1,1,1,1,0,1,14.14
0,1,1,1,1,0,2,11.07
0,1,1,1,1,1,3,11.26
0,1,0,1,1,0,4,22.99
0,1,1,0,1,0,4,14.12
0,1,1,1,0,1,3,11.03
1,0,1,1,1,0,3,18.6
1,0,1,1,1,0,2,15.17
1,0,1,1,1,1,3,14.16
1,0,1,1,1,0,4,17.36
1,0,0,1,1,1,3,15.47
1,0,1,0,1,0,5,26.34
1,0,1,1,0,0,2,15.48
1,0,1,1,1,0,1,17.97
1,1,0,1,1,0,3,16.49
1,1,1,0,1,0,4,14.96
1,1,1,1,0,0,5,14.48
1,1,1,1,0,0,4,100.06
1,1,1,1,1,1,3,15.47
1,1,1,1,0,0,1,15.27
1,1,0,1,1,1,3,14.12
1,1,1,1,0,0,3,14.03
1,1,0,1,1,0,4,15.47
1,1,1,0,1,0,5,13.19
1,1,1,0,0,0,1,166.94
1,1,1,0,1,0,2,17.27
1,1,1,0,1,0,3,14.15
1,1,0,1,1,0,5,14.32
1,1,1,0,1,1,3,23.19
1,1,1,1,0,1,3,100.33
1,1,0,1,0,0,3,166.47
1,1,0,0,1,0,1,10.95
0,1,1,0,1,0,3,15.47
1,1,0,1,0,0,1,14.94
0,1,1,1,0,0,4,18.35
1,1,0,0,1,0,5,23.34
1,1,0,1,0,0,2,16.74
1,1,0,1,0,0,5,26.05
1,1,1,0,0,0,2,23.1
1,1,1,0,0,0,3,15.27
1,0,1,1,0,0,4,14.0
1,1,0,0,0,0,2,10.97
1,1,0,0,0,0,3,11.29
1,1,0,0,0,0,4,11.31
1,1,0,0,0,0,5,10.98
1,1,1,0,0,0,5,19.96
1,1,0,0,0,1,3,11.3
1,0,1,0,0,0,1,13.99
1,0,0,1,0,0,1,11.37
1,0,0,0,1,0,1,11.05
1,0,1,0,0,0,3,15.48
1,0,0,1,0,0,3,10.95
1,0,0,0,1,0,3,15.17
1,0,1,0,0,0,4,14.48
1,0,0,1,0,0,4,15.18
1,0,0,0,1,0,4,14.15
1,0,1,0,0,0,5,11.44
1,0,0,1,0,0,5,10.96
1,0,0,0,1,0,5,11.05
1,0,1,0,1,0,2,11.27
1,0,1,0,0,1,3,14.01
1,0,0,1,1,0,2,10.95
1,0,0,1,0,1,3,10.9
1,0,0,0,1,1,3,14.31
0,1,1,0,0,0,1,11.39
0,1,0,1,0,0,1,100.08
0,1,0,0,1,0,1,100.51
0,1,0,0,1,0,2,100.59
0,1,1,0,0,0,3,15.18
0,1,0,1,0,0,3,19.54
0,1,1,0,0,0,4,16.41
0,1,0,1,0,0,4,13.85
0,1,0,0,1,0,4,23.2
0,1,1,0,0,0,5,23.09
0,1,0,1,0,0,5,99.65
0,1,0,0,1,0,5,10.91
0,1,1,0,1,0,2,12.9
0,1,1,0,0,1,3,23.4
0,1,0,1,0,1,3,11.28
0,1,0,0,1,1,3,99.91
0,0,1,1,0,0,1,14.02
0,0,0,1,1,0,1,14.96
0,0,1,0,1,0,2,166.53
0,0,0,1,1,0,2,15.26
0,0,1,1,0,0,3,15.46
0,0,1,0,1,0,3,14.95
0,0,0,1,1,0,3,14.64
0,0,1,1,0,0,4,15.26
0,0,1,0,1,0,4,11.6
0,0,0,1,1,0,4,11.3
0,0,1,1,0,0,5,14.95
0,0,1,0,1,0,5,14.95
0,0,0,1,1,0,5,167.12
0,0,1,1,1,0,1,11.62
0,0,1,1,0,1,3,11.3
0,0,1,0,1,1,3,15.16
0,0,1,1,1,0,4,11.62
0,0,1,1,1,0,2,11.01
0,0,1,1,1,0,3,15.26
0,1,0,1,1,0,5,14.94
0,1,1,0,1,0,5,18.02
0,1,1,1,0,0,5,26.03
0,1,0,1,1,1,3,15.48
0,0,1,1,1,1,3,22.71
0,1,0,1,1,0,1,26.34
0,1,1,1,0,0,1,16.67
0,1,1,0,1,0,1,14.51
0,1,0,1,1,0,2,22.68
0,1,1,1,0,0,2,100.62
0,1,1,0,1,1,3,23.12
0,1,0,1,1,0,3,163.83
0,1,1,1,0,0,3,166.86
1,0,1,1,0,0,5,99.77
1,0,0,1,1,0,5,14.87
1,0,0,1,1,0,4,166.76
1,0,0,1,1,0,1,100.1
1,0,1,0,1,0,4,163.3
1,0,0,1,1,0,3,166.85
1,0,1,1,0,0,1,99.54
1,0,1,0,1,0,1,16.08
1,0,1,0,1,0,3,163.71
1,0,1,1,0,0,3,19.68
1,0,1,0,1,1,3,163.78
1,0,1,1,0,1,3,13.49
1,1,0,0,1,0,3,11.3
1,1,0,0,1,0,2,14.96
1,1,0,1,0,1,3,11.33
1,1,1,0,0,0,4,11.66
1,1,0,1,0,0,4,14.09
1,1,0,0,1,0,4,17.52
1,1,0,0,1,1,3,26.02
