encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,0,0,3,36.53
0,1,0,0,0,0,3,34.54
0,0,0,0,0,0,1,35.35
0,0,0,0,0,0,2,37.39
0,0,0,0,0,0,3,34.54
0,0,0,0,0,0,4,34.47
0,0,0,0,0,0,5,59.01
0,0,1,0,0,0,5,59.05
0,0,0,1,0,0,1,34.64
0,0,0,0,1,0,1,59.01
0,0,0,0,0,1,3,34.56
0,1,1,1,1,0,4,35.75
1,0,1,1,1,0,5,51.13
1,1,1,1,1,0,4,39.34
1,1,1,1,1,0,5,51.13
1,1,1,1,1,0,1,38.67
1,1,1,1,1,0,2,37.53
1,1,1,1,1,0,3,37.58
1,1,0,1,1,0,1,38.67
1,1,1,0,1,0,1,39.52
1,1,1,1,0,0,2,38.71
1,1,0,1,1,0,2,37.56
1,1,0,0,0,0,1,38.34
1,0,0,0,0,0,1,38.36
1,0,0,0,0,0,2,39.23
1,0,0,0,0,0,4,37.57
1,0,0,0,0,0,5,62.02
1,0,1,0,0,0,2,37.62
1,0,0,1,0,0,2,37.52
1,0,0,0,1,0,2,37.61
1,0,0,0,0,1,3,37.62
0,1,0,0,0,0,1,36.5
0,1,0,0,0,0,2,37.35
0,1,0,0,0,0,4,34.48
0,1,0,0,0,0,5,59.05
0,1,1,0,0,0,2,34.44
0,1,0,1,0,0,2,35.75
0,1,0,0,1,0,3,36.51
0,1,0,0,0,1,3,34.51
0,0,1,0,0,0,1,36.52
0,0,1,0,0,0,2,35.39
0,0,0,1,0,0,2,37.35
0,0,0,0,1,0,2,35.2
0,0,1,0,0,0,3,37.38
0,0,0,1,0,0,3,33.48
0,0,0,0,1,0,3,34.48
0,0,1,0,0,0,4,34.55
0,0,0,1,0,0,4,34.46
0,0,0,0,1,0,4,34.48
0,0,0,1,0,0,5,34.48
0,0,0,0,1,0,5,48.09
0,0,1,1,0,0,2,34.47
0,0,1,0,1,0,1,37.39
0,0,1,0,0,1,3,34.53
0,0,0,1,1,1,3,36.26
0,0,0,1,0,1,3,34.49
0,0,0,0,1,1,3,34.58
0,0,1,1,1,0,5,47.04
0,1,1,1,1,0,5,47.06
0,1,1,1,1,0,3,33.42
0,1,1,1,1,0,1,36.29
0,1,1,1,1,0,2,34.53
0,1,1,1,1,1,3,34.48
0,1,0,1,1,0,4,36.51
0,1,1,0,1,0,4,36.32
0,1,1,1,0,1,3,34.53
1,0,1,1,1,0,3,38.68
1,0,1,1,1,0,2,37.63
1,0,1,1,1,1,3,37.53
