encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,0,0,3,5.68
0,1,0,0,0,0,3,2.61
0,0,0,0,0,0,1,4.44
0,0,0,0,0,0,2,3.9
0,0,0,0,0,0,3,2.62
0,0,0,0,0,0,4,2.59
0,0,0,0,0,0,5,25.11
0,0,1,0,0,0,5,25.18
0,0,0,1,0,0,1,3.38
0,0,0,0,1,0,1,25.22
0,0,0,0,0,1,3,2.62
0,1,1,1,1,0,4,3.49
1,0,1,1,1,0,5,16.59
1,1,1,1,1,0,4,6.04
1,1,1,1,1,0,5,16.57
1,1,1,1,1,0,1,6.47
1,1,1,1,1,0,2,5.56
1,1,1,1,1,0,3,5.68
1,1,0,1,1,0,1,6.33
1,1,1,0,1,0,1,7.25
1,1,1,1,0,0,2,6.46
1,1,0,1,1,0,2,5.55
1,1,0,0,0,0,1,7.43
1,0,0,0,0,0,1,7.41
1,0,0,0,0,0,2,6.7
1,0,0,0,0,0,4,5.63
1,0,0,0,0,0,5,28.12
1,0,1,0,0,0,2,5.56
1,0,0,1,0,0,2,5.55
1,0,0,0,1,0,2,5.75
1,0,0,0,0,1,3,5.64
0,1,0,0,0,0,1,4.48
0,1,0,0,0,0,2,3.82
0,1,0,0,0,0,4,2.59
0,1,0,0,0,0,5,25.11
0,1,1,0,0,0,2,2.6
0,1,0,1,0,0,2,3.28
0,1,0,0,1,0,3,4.44
0,1,0,0,0,1,3,2.54
0,0,1,0,0,0,1,4.43
0,0,1,0,0,0,2,4.45
0,0,0,1,0,0,2,3.74
0,0,0,0,1,0,2,3.11
0,0,1,0,0,0,3,3.82
0,0,0,1,0,0,3,2.61
0,0,0,0,1,0,3,2.67
0,0,1,0,0,0,4,2.58
0,0,0,1,0,0,4,2.6
0,0,0,0,1,0,4,2.56
0,0,0,1,0,0,5,2.6
0,0,0,0,1,0,5,13.56
0,0,1,1,0,0,2,2.59
0,0,1,0,1,0,1,3.91
0,0,1,0,0,1,3,2.52
0,0,0,1,1,1,3,3.15
0,0,0,1,0,1,3,2.59
0,0,0,0,1,1,3,2.61
0,0,1,1,1,0,5,13.64
0,1,1,1,1,0,5,13.57
0,1,1,1,1,0,3,2.56
0,1,1,1,1,0,1,3.22
0,1,1,1,1,0,2,2.59
0,1,1,1,1,1,3,2.61
0,1,0,1,1,0,4,4.44
0,1,1,0,1,0,4,3.19
0,1,1,1,0,1,3,2.58
1,0,1,1,1,0,3,6.52
1,0,1,1,1,0,2,5.67
1,0,1,1,1,1,3,5.47
1,0,1,1,1,0,4,6.14
1,0,0,1,1,1,3,5.76
1,0,1,0,1,0,5,7.51
1,0,1,1,0,0,2,5.67
1,0,1,1,1,0,1,6.29
1,1,0,1,1,0,3,6.06
1,1,1,0,1,0,4,5.65
1,1,1,1,0,0,5,5.57
1,1,1,1,0,0,4,16.45
1,1,1,1,1,1,3,5.69
1,1,1,1,0,0,1,5.62
1,1,0,1,1,1,3,5.55
1,1,1,1,0,0,3,5.47
1,1,0,1,1,0,4,5.81
1,1,1,0,1,0,5,3.21
1,1,1,0,0,0,1,28.12
1,1,1,0,1,0,2,6.14
1,1,1,0,1,0,3,5.57
1,1,0,1,1,0,5,5.56
1,1,1,0,1,1,3,6.69
1,1,1,1,0,1,3,16.62
1,1,0,1,0,0,3,28.12
1,1,0,0,1,0,1,2.58
0,1,1,0,1,0,3,5.77
1,1,0,1,0,0,1,3.49
0,1,1,1,0,0,4,6.46
1,1,0,0,1,0,5,6.9
1,1,0,1,0,0,2,5.97
1,1,0,1,0,0,5,7.42
1,1,1,0,0,0,2,6.69
1,1,1,0,0,0,3,5.75
1,0,1,1,0,0,4,5.64
1,1,0,0,0,0,2,2.58
1,1,0,0,0,0,3,2.58
1,1,0,0,0,0,4,2.61
1,1,0,0,0,0,5,2.59
1,1,1,0,0,0,5,3.84
1,1,0,0,0,1,3,2.61
1,0,1,0,0,0,1,5.51
1,0,0,1,0,0,1,2.69
1,0,0,0,1,0,1,2.59
1,0,1,0,0,0,3,5.67
1,0,0,1,0,0,3,2.6
1,0,0,0,1,0,3,5.69
1,0,1,0,0,0,4,5.55
1,0,0,1,0,0,4,5.63
1,0,0,0,1,0,4,5.55
1,0,1,0,0,0,5,2.6
1,0,0,1,0,0,5,2.66
1,0,0,0,1,0,5,2.69
1,0,1,0,1,0,2,2.72
1,0,1,0,0,1,3,5.55
1,0,0,1,1,0,2,2.67
1,0,0,1,0,1,3,2.52
1,0,0,0,1,1,3,5.55
0,1,1,0,0,0,1,2.59
0,1,0,1,0,0,1,16.45
0,1,0,0,1,0,1,16.48
0,1,0,0,1,0,2,13.5
0,1,1,0,0,0,3,5.76
0,1,0,1,0,0,3,3.91
0,1,1,0,0,0,4,6.17
0,1,0,1,0,0,4,3.25
0,1,0,0,1,0,4,6.69
0,1,1,0,0,0,5,6.78
0,1,0,1,0,0,5,13.67
0,1,0,0,1,0,5,2.58
0,1,1,0,1,0,2,3.02
0,1,1,0,0,1,3,6.78
0,1,0,1,0,1,3,2.58
0,1,0,0,1,1,3,16.62
0,0,1,1,0,0,1,5.54
0,0,0,1,1,0,1,5.64
0,0,1,0,1,0,2,28.16
0,0,0,1,1,0,2,5.66
0,0,1,1,0,0,3,5.68
0,0,1,0,1,0,3,5.64
0,0,0,1,1,0,3,5.58
0,0,1,1,0,0,4,5.69
0,0,1,0,1,0,4,2.76
0,0,0,1,1,0,4,2.56
0,0,1,1,0,0,5,5.63
0,0,1,0,1,0,5,5.63
0,0,0,1,1,0,5,28.11
0,0,1,1,1,0,1,2.61
0,0,1,1,0,1,3,2.75
0,0,1,0,1,1,3,5.67
0,0,1,1,1,0,4,2.57
0,0,1,1,1,0,2,2.63
0,0,1,1,1,0,3,5.65
0,1,0,1,1,0,5,5.56
0,1,1,0,1,0,5,6.34
0,1,1,1,0,0,5,7.49
0,1,0,1,1,1,3,3.51
0,0,1,1,1,1,3,4.44
0,1,0,1,1,0,1,7.41
0,1,1,1,0,0,1,6.27
0,1,1,0,1,0,1,3.25
0,1,0,1,1,0,2,4.44
0,1,1,1,0,0,2,16.48
0,1,1,0,1,1,3,6.78
0,1,0,1,1,0,3,25.14
0,1,1,1,0,0,3,28.11
1,0,1,1,0,0,5,13.58
1,0,0,1,1,0,5,5.68
1,0,0,1,1,0,4,28.13
1,0,0,1,1,0,1,13.51
1,0,1,0,1,0,4,25.02
1,0,0,1,1,0,3,28.0
1,0,1,1,0,0,1,13.58
1,0,1,0,1,0,1,6.04
1,0,1,0,1,0,3,25.17
1,0,1,1,0,0,3,3.84
1,0,1,0,1,1,3,25.25
1,0,1,1,0,1,3,3.33
1,1,0,0,1,0,3,2.59
1,1,0,0,1,0,2,5.64
1,1,0,1,0,1,3,2.64
1,1,1,0,0,0,4,2.63
1,1,0,1,0,0,4,3.4
1,1,0,0,1,0,4,6.42
1,1,0,0,1,1,3,7.4
