encryption,integrityCheck,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,compat,time
1,0,0,0,0,0,3,5.34
0,1,0,0,0,0,3,2.23
0,0,0,0,0,0,1,4.12
0,0,0,0,0,0,2,4.07
0,0,0,0,0,0,3,2.26
0,0,0,0,0,0,4,2.23
0,0,0,0,0,0,5,33.19
0,0,1,0,0,0,5,41.71
0,0,0,1,0,0,1,2.69
0,0,0,0,1,0,1,41.28
0,0,0,0,0,1,3,2.23
0,1,1,1,1,0,4,2.81
1,0,1,1,1,0,5,21.06
1,1,1,1,1,0,4,5.83
1,1,1,1,1,0,5,21.05
1,1,1,1,1,0,1,5.72
1,1,1,1,1,0,2,5.21
1,1,1,1,1,0,3,5.34
1,1,0,1,1,0,1,5.72
1,1,1,0,1,0,1,7.16
1,1,1,1,0,0,2,5.82
1,1,0,1,1,0,2,5.14
1,1,0,0,0,0,1,7.12
1,0,0,0,0,0,1,7.12
1,0,0,0,0,0,2,6.96
1,0,0,0,0,0,4,5.36
1,0,0,0,0,0,5,43.96
1,0,1,0,0,0,2,5.34
1,0,0,1,0,0,2,5.25
1,0,0,0,1,0,2,5.35
1,0,0,0,0,1,3,5.22
0,1,0,0,0,0,1,4.12
0,1,0,0,0,0,2,4.05
0,1,0,0,0,0,4,2.2
0,1,0,0,0,0,5,39.01
0,1,1,0,0,0,2,2.28
0,1,0,1,0,0,2,2.75
0,1,0,0,1,0,3,4.11
0,1,0,0,0,1,3,2.25
0,0,1,0,0,0,1,4.12
0,0,1,0,0,0,2,4.03
0,0,0,1,0,0,2,4.17
0,0,0,0,1,0,2,2.77
0,0,1,0,0,0,3,3.95
0,0,0,1,0,0,3,2.36
0,0,0,0,1,0,3,2.22
0,0,1,0,0,0,4,2.16
0,0,0,1,0,0,4,2.24
0,0,0,0,1,0,4,2.25
0,0,0,1,0,0,5,2.16
0,0,0,0,1,0,5,18.03
0,0,1,1,0,0,2,2.24
0,0,1,0,1,0,1,4.06
0,0,1,0,0,1,3,2.24
0,0,0,1,1,1,3,2.81
0,0,0,1,0,1,3,2.09
0,0,0,0,1,1,3,2.31
0,0,1,1,1,0,5,19.37
0,1,1,1,1,0,5,18.03
0,1,1,1,1,0,3,2.18
0,1,1,1,1,0,1,2.87
0,1,1,1,1,0,2,2.24
0,1,1,1,1,1,3,2.15
0,1,0,1,1,0,4,3.96
0,1,1,0,1,0,4,2.79
0,1,1,1,0,1,3,2.25
1,0,1,1,1,0,3,5.74
1,0,1,1,1,0,2,5.34
1,0,1,1,1,1,3,5.23
1,0,1,1,1,0,4,5.73
1,0,0,1,1,1,3,5.34
1,0,1,0,1,0,5,7.01
1,0,1,1,0,0,2,5.44
1,0,1,1,1,0,1,5.74
1,1,0,1,1,0,3,5.65
1,1,1,0,1,0,4,5.37
1,1,1,1,0,0,5,5.2
1,1,1,1,0,0,4,21.03
1,1,1,1,1,1,3,5.34
1,1,1,1,0,0,1,5.22
1,1,0,1,1,1,3,5.23
1,1,1,1,0,0,3,5.17
1,1,0,1,1,0,4,5.27
1,1,1,0,1,0,5,2.84
1,1,1,0,0,0,1,36.24
1,1,1,0,1,0,2,5.71
1,1,1,0,1,0,3,5.18
1,1,0,1,1,0,5,5.17
1,1,1,0,1,1,3,6.95
1,1,1,1,0,1,3,22.55
1,1,0,1,0,0,3,31.8
1,1,0,0,1,0,1,2.23
0,1,1,0,1,0,3,5.38
1,1,0,1,0,0,1,2.82
0,1,1,1,0,0,4,5.69
1,1,0,0,1,0,5,7.12
1,1,0,1,0,0,2,5.75
1,1,0,1,0,0,5,7.11
1,1,1,0,0,0,2,7.05
1,1,1,0,0,0,3,5.29
1,0,1,1,0,0,4,5.18
1,1,0,0,0,0,2,2.23
1,1,0,0,0,0,3,2.23
1,1,0,0,0,0,4,2.23
1,1,0,0,0,0,5,2.19
1,1,1,0,0,0,5,3.98
1,1,0,0,0,1,3,2.3
1,0,1,0,0,0,1,5.22
1,0,0,1,0,0,1,2.23
1,0,0,0,1,0,1,2.21
1,0,1,0,0,0,3,5.32
1,0,0,1,0,0,3,2.22
1,0,0,0,1,0,3,5.33
1,0,1,0,0,0,4,5.21
1,0,0,1,0,0,4,5.33
1,0,0,0,1,0,4,5.12
1,0,1,0,0,0,5,2.25
1,0,0,1,0,0,5,2.1
1,0,0,0,1,0,5,2.25
1,0,1,0,1,0,2,2.24
1,0,1,0,0,1,3,5.1
1,0,0,1,1,0,2,2.24
1,0,0,1,0,1,3,2.26
1,0,0,0,1,1,3,5.22
0,1,1,0,0,0,1,2.24
0,1,0,1,0,0,1,21.05
0,1,0,0,1,0,1,21.06
0,1,0,0,1,0,2,18.09
0,1,1,0,0,0,3,5.34
0,1,0,1,0,0,3,4.0
0,1,1,0,0,0,4,5.75
0,1,0,1,0,0,4,2.82
0,1,0,0,1,0,4,7.09
0,1,1,0,0,0,5,6.93
0,1,0,1,0,0,5,19.39
0,1,0,0,1,0,5,2.25
0,1,1,0,1,0,2,2.76
0,1,1,0,0,1,3,7.07
0,1,0,1,0,1,3,2.19
0,1,0,0,1,1,3,22.17
0,0,1,1,0,0,1,5.17
0,0,0,1,1,0,1,5.37
0,0,1,0,1,0,2,44.66
0,0,0,1,1,0,2,5.41
0,0,1,1,0,0,3,5.35
0,0,1,0,1,0,3,5.31
0,0,0,1,1,0,3,5.37
0,0,1,1,0,0,4,5.38
0,0,1,0,1,0,4,2.42
0,0,0,1,1,0,4,2.32
0,0,1,1,0,0,5,5.3
0,0,1,0,1,0,5,5.37
0,0,0,1,1,0,5,40.05
0,0,1,1,1,0,1,2.31
0,0,1,1,0,1,3,2.35
0,0,1,0,1,1,3,5.43
0,0,1,1,1,0,4,2.3
0,0,1,1,1,0,2,2.17
0,0,1,1,1,0,3,5.29
0,1,0,1,1,0,5,5.38
0,1,1,0,1,0,5,5.74
0,1,1,1,0,0,5,7.12
0,1,0,1,1,1,3,2.84
0,0,1,1,1,1,3,3.99
