system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
z3,AUFNIRA_z3,6,5.85,649,0.6425742574257426
z3,LRA_formula_277,104,1.76,742,0.7346534653465346
z3,QF_AUFBV_891_sqlite3,12,0.11,761,0.7534653465346535
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002,1,2.25,143,0.14158415841584157
z3,QF_BV_bench_3176,3,3.12,547,0.5415841584158416
z3,QF_BV_bench_935,14,1.29,648,0.6415841584158416
z3,QF_LIA_tightrhombus,35,0.22,612,0.6059405940594059
z3,QF_LRA_clocksynchro_7clocks,2,8.74,263,0.2603960396039604
z3,QF_NRA_hong_9,15,3.18,379,0.37524752475247525
z3,QF_RDL_orb08_888,1,6.59,161,0.1594059405940594
z3,QF_UFLIA_xs_23_43,1,7.72,363,0.3594059405940594
z3,QF_UF_PEQ018_size6,1,3.87,519,0.5138613861386139
