ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,performance
1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,75704.6
1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,69702.4
1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,72127.2
1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,83841.6
1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,91391.2
1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,97587.8
1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,85009.6
0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,73918.8
1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,92292.8
0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,91823.6
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,58627.2
0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,71571.0
1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,91836.2
1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,83604.0
0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,65918.8
0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,94249.8
0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,89620.8
0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,84661.8
0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,85405.6
1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,63911.4
0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,63473.6
0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,64780.2
1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,86153.2
1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,88119.6
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,63003.0
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,99888.8
1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,78662.6
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,66823.2
0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,67130.6
0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,68015.6
1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,82872.4
0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,82362.6
0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,74732.2
0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,77388.0
0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,76898.8
1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,73315.4
0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,67842.2
1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,64442.4
1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,86460.4
0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,82363.2
0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,89518.6
0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,82150.0
0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,81126.2
1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,88307.8
1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,62382.2
1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,85592.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57250.2
1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,76556.4
1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,65847.2
1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,80175.6
0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,90581.6
1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,68836.0
1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,65926.8
0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,71365.4
0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,77364.8
0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,63554.4
1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,81072.0
1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,75394.4
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,89566.6
0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,91306.0
0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,77948.6
0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,101739.8
1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,97102.8
0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,88291.0
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,75782.6
1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,68916.0
0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,85418.2
1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,73001.6
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,61653.4
1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,65792.2
0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,69138.2
0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,64713.8
1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,79413.4
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,78908.0
0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,78951.6
0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,86518.4
1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,84782.4
1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,71497.2
1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,88046.0
1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,88984.0
1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,79527.6
0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,82879.6
0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,72893.4
1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,78359.8
0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,72233.6
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,57565.0
1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,77488.6
0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,79846.6
0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,69998.6
0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,75583.6
0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,64283.8
1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,80381.6
1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,70553.0
1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,82024.0
1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,81639.4
1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,88355.2
1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,69312.4
1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,86145.2
0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,74193.2
0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,94462.8
0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,82708.2
0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,71477.6
0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,83074.2
0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,72452.6
0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,62992.8
1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,79432.8
0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,81793.4
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,65588.0
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,72355.0
0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,84743.2
1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,91571.2
0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,80499.8
1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,76466.4
0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,74887.0
0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,60465.4
0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,91635.0
0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,81927.6
1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,92659.6
1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,94947.2
1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,76668.4
0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,77899.8
1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,87493.6
1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,80228.2
0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,79665.0
0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,79235.4
1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,77306.6
1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,66291.2
1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,73806.6
0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,75259.0
0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,75966.8
1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,74745.4
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,68648.2
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,96752.0
0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,91469.6
