system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
z3,AUFNIRA_z3,0.01485148514851485,0.6278632222425742,175,9,2
z3,LRA_formula_277,0.12475247524752475,0.7839412574450648,63,0,2
z3,QF_AUFBV_891_sqlite3,0.023762376237623763,0.967101727213167,199,2,2
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002,0.015841584158415842,0.9664449540502874,224,10,2
z3,QF_BV_bench_3176,0.011881188118811881,0.9924338719606732,402,2,2
z3,QF_BV_bench_935,0.02178217821782178,0.9956021909734355,212,2,2
z3,QF_LIA_tightrhombus,0.05742574257425743,0.8291439973772783,90,2,2
z3,QF_LRA_clocksynchro_7clocks,0.0702970297029703,0.9734214708898695,168,0,2
z3,QF_NRA_hong_9,0.14653465346534653,0.9377086711401877,61,0,2
z3,QF_RDL_orb08_888,0.019801980198019802,0.8034789357588303,169,2,2
z3,QF_UFLIA_xs_23_43,0.01287128712871287,0.6945924314490112,363,3,2
z3,QF_UF_PEQ018_size6,0.009900990099009901,0.9952008409770446,519,19,2
