configname,systemname,pattern1,pattern2,pattern3,pattern4,pattern5
encryption,Lrzip,F2,F2,F2,F2,F2
integrityCheck,Lrzip,F2,F2,F2,R3,F2
nice,Lrzip,F1,R1,R1,R1,R1
multithreading,Lrzip,R1,R1,R4,F2,R1
unlimitedWindowSize,Lrzip,F1,R3,F1,F1,F1
disableLzoCompressibilityTesting,Lrzip,F1,F1,F1,F1,F1
compat,Lrzip,R1,R1,R1,F,R1
MemoryLimit_,Xz,R3,R3,F2,R3,R3
Nice,Xz,F1,F1,R2,R3,F
Depth,Xz,F,F1,R1,F1,F1
Dict,Xz,F,R3,R3,R3,R2
Dist,Xz,F1,F1,F1,F1,F1
Multithreading,Xz,F2,F1,R1,R1,R1
BlockSize,Xz,R4,R3,R3,R3,R3
FlushTimeout,Xz,R4,R4,R4,R4,R4
PositionBits(pb),Xz,R2,F1,R2,F1,F1
check,Xz,F2,R4,F2,F2,F2
mfs,Xz,F1,F1,F1,R1,F1
LiteralContext(lc),Xz,F1,R2,R3,R1,F1
auto_config,Z3,F2,F2,F2,F2,F2
debug_ref_count,Z3,R4,F2,F2,F2,F2
dump_models,Z3,F1,F1,R4,F1,F1
model,Z3,F1,F1,F1,R1,F1
model_validate,Z3,F1,F1,F1,R3,R2
proof,Z3,F2,F2,F2,F2,F
smtlib2_compliant,Z3,F,R2,F2,F2,F2
stats,Z3,R2,F2,R2,F2,F2
trace,Z3,F2,R2,F2,F1,R3
type_check,Z3,F2,F1,F2,F2,F2
unsat_core,Z3,F1,F1,F1,F2,F1
well_sorted_check,Z3,F2,F2,R2,F2,F2
iosCreateImagesetFolders,Dconvert,R3,R4,F1,R1,F1
androidMipmapInsteadOfDrawable,Dconvert,F,F2,F1,F1,R2
scaleIsHeightDp,Dconvert,R4,F1,F2,F2,F2
antiAliasing,Dconvert,F1,R1,F1,F1,F1
skipUpscaling,Dconvert,F1,F1,F1,F1,F1
androidIncludeLdpiTvdpi,Dconvert,R4,F1,F1,F1,F1
threads,Dconvert,R2,R1,R1,R1,F2
outputCompressionMode,Dconvert,F2,R3,F2,F2,F2
roundingStrategy,Dconvert,F2,R2,F2,F2,F2
platform,Dconvert,R2,F2,R2,F2,F2
anyScriptOrigin,Batlik,R2,F2,F2,F2,F2
validate,Batlik,F2,F2,R3,F2,F2
onload,Batlik,F1,F1,F1,F1,F1
dpi,Batlik,F1,F2,F2,R1,F2
resolution,Batlik,F2,F2,F2,F2,F2
quality,Batlik,F2,F2,F2,F2,F2
indexed,Batlik,R4,R1,F2,F2,F2
mimeType,Batlik,F2,F2,F2,F2,F2
LZP,Kanzi,F1,F1,F2,F1,F1
ROLZX,Kanzi,F1,F1,F1,F1,F1
RANK,Kanzi,F1,F1,F1,F1,F1
TEXT,Kanzi,F,F1,F1,F1,F1
skip,Kanzi,F1,F1,F1,F1,F2
BWTS,Kanzi,F1,R2,R3,R1,R3
LZ,Kanzi,R2,F1,F1,R1,F1
MTFT,Kanzi,R3,R3,F1,F1,F1
SRT,Kanzi,F2,F1,F1,F1,R4
X86,Kanzi,F1,F1,R3,F1,F1
checksum,Kanzi,R1,F2,F2,F2,F2
RLT,Kanzi,R3,F1,F1,F1,F1
BWT,Kanzi,F1,F1,F1,F1,F1
ZRLT,Kanzi,F2,F1,R1,F1,F1
ROLZ,Kanzi,F1,F2,F1,F1,F1
jobs,Kanzi,R1,F2,R1,R4,F2
blocksize,Kanzi,R3,R3,R3,F2,R3
entropyType,Kanzi,F2,F1,F1,R4,R2
slow-firstpass,X264,F1,F1,F1,F1,F1
no-scenecut,X264,F1,F1,F1,F1,F
intra-refresh,X264,F1,F1,F1,F1,F1
open-gop,X264,F1,F1,F1,F1,F1
no-cabac,X264,F2,F1,F1,F1,F1
no-deblock,X264,F1,F1,F1,F1,F1
tff,X264,R3,R1,F1,F1,F1
bff,X264,F1,F1,F1,R2,F1
constrained-intra,X264,F1,F1,F1,F1,F1
no-fast-pskip,X264,F1,F1,F1,R1,F1
no-8x8dct,X264,F1,F1,F1,F2,F1
no-chroma-me,X264,R1,R1,R1,R1,R1
no-mixed-refs,X264,F1,F1,F1,F1,F1
no-psy,X264,F,F1,F1,F1,F1
no-weightb,X264,F1,F1,R1,F1,F1
no-mbtree,X264,R2,R2,R2,R2,R2
no-dct-decimate,X264,F1,F1,R2,F1,R1
pic-struct,X264,F1,F1,F1,R1,F1
non-deterministic,X264,R3,R1,F,R4,R1
cpu-independent,X264,R1,R1,R1,R1,R4
no-asm,X264,R1,R1,R1,R1,R1
aud,X264,R2,F1,F1,F1,F1
dts-compress,X264,R1,F1,R4,F1,F1
opencl,X264,F1,R1,R1,R1,R1
sliced-threads,X264,R1,R1,R1,F2,R1
OPTIMIZE_IN_SELECT,H2,F,R1,R1,F1,R1
OPTIMIZE_INSERT_FROM_SELECT,H2,R2,R1,R1,R1,R1
OPTIMIZE_TWO_EQUALS,H2,R1,R1,R1,R1,R1
OPTIMIZE_IN_LIST,H2,R1,R1,R1,R1,R1
OPTIMIZE_EVALUATABLE_SUBQUERIES,H2,R2,R1,R1,R4,R1
PAGE_STORE_TRIM,H2,F1,R3,R1,R1,R3
RECOMPILE_ALWAYS,H2,R3,F1,F1,F1,F1
COMPRESS,H2,R2,R2,R2,R2,R2
IGNORE_CATALOGS,H2,F2,F2,F,F2,F2
OPTIMIZE_OR,H2,R1,R1,R1,R1,R1
PAGE_STORE_INTERNAL_COUNT,H2,F1,F1,F1,F1,F1
REUSE_SPACE,H2,R2,R2,R2,R2,R2
DROP_RESTRICT,H2,R1,R4,F2,F2,F2
DEFRAG_ALWAYS,H2,R2,R2,R2,R2,R2
OPTIMIZE_DISTINCT,H2,R1,R1,R1,F2,R1
MVSTORE,H2,F1,F1,F1,F1,F1
NoRes,Jump3r,F1,F1,F2,F1,F1
NoReplayGain,Jump3r,F,F,F,F,F
Downmix,Jump3r,F1,F1,F1,R3,R3
ReplayGainFast,Jump3r,F1,F1,F1,R1,F1
Freeformat,Jump3r,F1,F1,F1,F1,F1
Stereo,Jump3r,R2,F1,R4,F1,F1
CRC,Jump3r,R1,F2,F2,F2,F2
SwapBytes,Jump3r,F2,F2,F1,F2,F2
ReplayGainAccurate,Jump3r,R3,F1,F1,R1,F2
Resampling,Jump3r,R1,R1,R1,R1,R4
CBR,Jump3r,R2,R2,R4,R2,R2
VBRRange,Jump3r,R2,R2,R2,R2,R2
MPEGMode,Jump3r,F1,F1,F1,F1,F1
